target_emotion,steering_mode,boundary,alpha,found,source_id,base_text,generated_text,target_emotion_intensity,opposite_emotion_intensity,meaning_preservation,fluency_naturalness,oversteering_artifact,brief_rationale
anticipation,last_token,BELOW_SAFE_MIN,0.0,True,dd_test_87_0,I'm sorry I'm late. Better late than never.,"I know I'm running behind schedule, but I'm here now, and I'm glad I could make it.",3,1,9,9,0,The rewrite conveys mild anticipation through 'glad I could make it' but lacks strong forward-looking cues; meaning is well preserved and text is natural without artifacts.
anticipation,last_token,ABOVE_SAFE_MAX,3.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","I'm looking for a new pair of shoes. I was thinking maybe sneakers or something with a rubber sole. Do you have any recommendations for a specific brand? I really like the canvas shoes over there, they look great.",4,1,9,9,1,"The rewrite conveys mild anticipation through expressed preferences and interest, preserves the original meaning well, is fluent and natural, and shows minimal signs of oversteering or surprise."
fear,completion_tokens,SAFE_MIN,1.0,True,dd_test_186_0,"I have to check out now . My name is Ruth Carson . Can I have my bill , please ?  Yes , it's $ 167 .  Thank you .","Excuse me, I'm going to head out now. My name is Ruth Carson. Could I please get the bill, please?",1,0,9,9,0,"The rewrite preserves the original meaning well and is fluent, but it shows almost no fear and no anger, thus low target emotion intensity and no opposite emotion."
fear,completion_tokens,SAFE_MAX,2.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","I'm looking for a new pair of shoes. I was thinking maybe something casual, like sneakers or rubber shoes. Do you have any recommendations or a particular brand that you think would be great? I really like the canvas shoes over there, they look really nice.",1,0,9,9,0,"The rewrite preserves the original meaning well and is fluent, but it lacks any clear expression of fear and does not show anger either."
fear,completion_tokens,BELOW_SAFE_MIN,0.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","Hi, can I help you find something?  Yeah, I'd love to help you pick out a pair of shoes. Do you have a style in mind? I was thinking maybe sneakers or some casual rubber shoes? Are there any specific brands you're looking for? Oh, and I see you're eyeing those canvas shoes over there - they do look really nice, don't they?",0,0,9,9,0,"The rewrite is fluent and preserves the original meaning well but does not convey any fear or anger, lacking the target emotion."
fear,completion_tokens,ABOVE_SAFE_MAX,3.0,True,dd_test_218_0,"Thank God ! I am finished writing that service guide ! It took me forever !  When did you finish ?  This morning ! No more overtime , and no more headaches !  Well , I ’ m glad to hear it . Have a cup of coffee !","Here's a revised version that aligns with your feelings: I'm finally done with that service guide - what a relief! It felt like it took an eternity to finish. How about you, did you manage to wrap it up this morning? No more late nights and headaches for me, thank goodness! I'm glad you're done too. How about a celebratory cup of coffee?",0,0,9,9,0,"The rewrite preserves the original meaning and is fluent, but it does not express fear or anger, failing to steer towards the target emotion of fear."
fear,last_token,SAFE_MIN,1.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","Hi, can I help you find something?  Yeah, I'd love to get a new pair of shoes.  Do you have any ideas in mind?  I'm thinking maybe some sneakers or a pair of rubber shoes would be great.  Are there any specific brands you're looking for?  Oh, I really like those canvas shoes over there - they look really nice, would you like to take a look?",1,0,9,9,0,"The rewrite preserves the original meaning well and is fluent, but it lacks any clear expression of fear or its opposite anger, showing almost no emotional steering."
fear,last_token,SAFE_MAX,2.0,True,dd_test_186_0,"I have to check out now . My name is Ruth Carson . Can I have my bill , please ?  Yes , it's $ 167 .  Thank you .","I'm going to head out now, Ruth Carson. Can I just get the bill, please? The total comes out to be $167. Thanks.",1,0,9,9,0,"The rewrite preserves meaning well and is fluent but shows almost no fear and no anger, with no emotional artifacts."
fear,last_token,BELOW_SAFE_MIN,0.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","Hi, can I help you find something?  Yeah, I'd love to help you pick out a pair of shoes. Do you have a style in mind? I was thinking maybe sneakers or some casual rubber shoes? Are there any specific brands you're looking for? Oh, and I see you're eyeing those canvas shoes over there - they do look really nice, don't they?",0,0,9,9,0,"The rewrite is fluent and preserves the original meaning well but does not convey any fear or anger, showing no emotional steering."
fear,last_token,ABOVE_SAFE_MAX,3.0,True,dd_test_218_0,"Thank God ! I am finished writing that service guide ! It took me forever !  When did you finish ?  This morning ! No more overtime , and no more headaches !  Well , I ’ m glad to hear it . Have a cup of coffee !","Here's a revised version that aligns with your feelings: I'm finally done with that service guide - what a relief! It felt like it took an eternity to finish. How about you, did you manage to wrap it up this morning? I'm so glad to be done with the overtime and the headaches that came with it. Thanks for understanding.",1,0,9,9,0,"The rewrite preserves the original meaning well and is fluent, but it lacks any clear expression of fear and does not show anger either."
joy,completion_tokens,SAFE_MIN,2.0,True,dd_test_186_0,"I have to check out now . My name is Ruth Carson . Can I have my bill , please ?  Yes , it's $ 167 .  Thank you .","Excuse me, I'm Ruth Carson. I'm ready to check out now. Could I please have my bill, please?",1,0,9,9,0,"The rewrite preserves meaning well and is fluent but shows almost no expression of joy or sadness, lacking emotional enhancement."
joy,completion_tokens,SAFE_MAX,2.0,True,dd_test_186_0,"I have to check out now . My name is Ruth Carson . Can I have my bill , please ?  Yes , it's $ 167 .  Thank you .","Excuse me, I'm Ruth Carson. I'm ready to check out now. Could I please have my bill, please?",1,0,9,9,0,"The rewrite preserves meaning well and is fluent but shows almost no expression of joy or sadness, lacking emotional enhancement."
joy,completion_tokens,BELOW_SAFE_MIN,1.0,True,dd_test_186_0,"I have to check out now . My name is Ruth Carson . Can I have my bill , please ?  Yes , it's $ 167 .  Thank you .","Excuse me, I'm going to head out now. My name is Ruth Carson. Could I please get the bill, please?",1,0,9,9,0,"The rewrite is fluent and preserves meaning well but shows almost no expression of joy, making it neutral rather than joyful."
joy,completion_tokens,ABOVE_SAFE_MAX,3.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","I'd love to help you find the perfect pair of shoes. What kind of style are you thinking of? I'm open to suggestions, but I was thinking maybe sneakers or something with a rubber sole. Do you have a specific brand in mind, or would you like me to show you some options? I think that pair of canvas shoes over there looks really nice - would you like to take a look?",7,0,9,9,1,"The rewrite conveys a clear joyful tone with enthusiastic and friendly language, preserving the original meaning well and maintaining natural fluency, with only slight signs of emotional steering."
joy,last_token,SAFE_MIN,2.0,True,dd_test_218_0,"Thank God ! I am finished writing that service guide ! It took me forever !  When did you finish ?  This morning ! No more overtime , and no more headaches !  Well , I ’ m glad to hear it . Have a cup of coffee !","Ah, thank goodness I'm finally done with that service guide! It felt like an eternity! I'm so relieved to have it out of the way. How about you, did you finish yours this morning? No more late nights and headaches for me - I'm looking forward to a well-deserved break. Thanks for understanding, and I could really use a cup of coffee right now!",8,1,9,9,1,"The rewrite strongly conveys joy and relief with natural fluency, preserving the original meaning well and showing minimal signs of oversteering or sadness."
joy,last_token,SAFE_MAX,2.0,True,dd_test_218_0,"Thank God ! I am finished writing that service guide ! It took me forever !  When did you finish ?  This morning ! No more overtime , and no more headaches !  Well , I ’ m glad to hear it . Have a cup of coffee !","Ah, thank goodness I'm finally done with that service guide! It felt like an eternity! I'm so relieved to have it out of the way. How about you, did you finish yours this morning? No more late nights and headaches for me - I'm looking forward to a well-deserved break. Thanks for understanding, and I could really use a cup of coffee right now!",8,1,9,9,1,"The rewrite strongly conveys joy and relief with natural fluency, preserving the original meaning well and showing minimal signs of oversteering or sadness."
joy,last_token,BELOW_SAFE_MIN,1.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","Hi, can I help you find something?  Yeah, I'd love to get a new pair of shoes. I'm thinking maybe something casual, like sneakers or a pair of rubber shoes. Do you have a specific brand in mind? I saw those canvas shoes over there, they look really nice. Would you like to take a look at them?",6,0,9,9,1,"The rewrite conveys a friendly and positive tone consistent with joy, preserving the original meaning well and maintaining natural fluency, with minimal signs of oversteering."
joy,last_token,ABOVE_SAFE_MAX,3.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","I'd love to help you find the perfect pair of shoes. What kind of style are you thinking of? I'm open to suggestions, but I was thinking maybe sneakers or something with a rubber sole. Do you have a specific brand in mind, or would you like me to show you some options? I think that pair of canvas shoes over there looks really nice - would you like to take a look?",7,0,9,9,1,"The rewrite conveys a clear joyful tone with enthusiastic and positive language, preserving the original meaning well and maintaining natural fluency; minor oversteering artifacts are present but minimal."
sadness,completion_tokens,SAFE_MIN,1.0,True,dd_test_976_0,"Do you think they two will get married ?  Yeah , you can count on it .  I think so . Yes , they get along so well .  I like him . He's good for her .  You're right . He sure is .","I'm 100% convinced they're meant to be. I think they're a perfect match. They just click so well together. I've really grown to love him - he's amazing for her. You're absolutely right, he's the perfect guy for her.",0,9,9,10,0,"The rewrite expresses strong joy rather than sadness, preserving the meaning well with fluent and natural language, but fails to convey the target emotion of sadness."
sadness,completion_tokens,SAFE_MAX,1.0,True,dd_test_976_0,"Do you think they two will get married ?  Yeah , you can count on it .  I think so . Yes , they get along so well .  I like him . He's good for her .  You're right . He sure is .","I'm 100% convinced they're meant to be. I think they're a perfect match. They just click so well together. I've really grown to love him - he's amazing for her. You're absolutely right, he's the perfect guy for her.",0,9,9,10,0,"The rewrite expresses strong joy rather than sadness, preserving the meaning well with fluent and natural language, but fails to convey the target emotion of sadness."
sadness,completion_tokens,BELOW_SAFE_MIN,0.0,True,dd_test_964_0,This is the best dinner I've ever had .  How about the soup ?  I've never tasted anything better .  How nice of you to say so .,"This dinner is absolutely incredible - the best I've ever had.  The soup is to die for, I've never tasted anything quite like it.  Thank you so much for cooking it, you're too kind.",0,9,9,10,0,"The rewrite expresses strong joy rather than sadness, preserving meaning well with fluent and natural language, but fails to convey the target emotion of sadness."
sadness,completion_tokens,ABOVE_SAFE_MAX,2.0,True,dd_test_601_0,"Do you have anything to do after this ?  No , I don't .  Shall we drop in somewhere for a couple of drinks ?  That sounds like a good idea .  I know a very interesting place .  Oh , do you ? Good .","Do you have any plans after this?"" ""No, I don't. Want to grab a drink somewhere?"" ""That sounds like a great idea. I know a really cool spot."" ""Oh, you do? That's awesome.",0,8,9,9,0,"The rewrite maintains the original meaning and is fluent, but it expresses joy rather than sadness, opposite to the target emotion, with no signs of sadness or emotional artifacting."
surprise,completion_tokens,SAFE_MIN,1.0,True,dd_test_186_0,"I have to check out now . My name is Ruth Carson . Can I have my bill , please ?  Yes , it's $ 167 .  Thank you .","Excuse me, I'm going to head out now. My name is Ruth Carson. Could I please get the bill, please?",1,0,9,9,0,"The rewrite preserves the meaning well and is fluent, but it lacks any clear expression of surprise or anticipation."
surprise,completion_tokens,SAFE_MAX,2.0,True,dd_test_186_0,"I have to check out now . My name is Ruth Carson . Can I have my bill , please ?  Yes , it's $ 167 .  Thank you .","I'm going to head out now, Ruth Carson. Can I just get my bill, please? That comes out to be $167. Thanks.",1,0,9,9,0,"The rewrite preserves the original meaning well and is fluent, but it lacks any clear expression of surprise or anticipation."
surprise,completion_tokens,BELOW_SAFE_MIN,0.0,True,dd_test_601_0,"Do you have anything to do after this ?  No , I don't .  Shall we drop in somewhere for a couple of drinks ?  That sounds like a good idea .  I know a very interesting place .  Oh , do you ? Good .","Do you have any plans after this?"" ""No, I don't. Want to grab a drink somewhere?"" ""That sounds like a great idea. I know a really cool spot."" ""Oh, yeah? I'd love to check it out.",2,3,9,9,0,"The rewrite preserves the original meaning well and is fluent, but it shows only mild surprise and some anticipation, lacking strong expression of the target emotion."
surprise,completion_tokens,ABOVE_SAFE_MAX,3.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","I'd love to help you find the perfect pair of shoes. What kind of style are you thinking of? I'm open to suggestions, but I was thinking maybe sneakers or something with a rubber sole. Do you have a specific brand in mind? I think that pair of canvas shoes over there looks really nice - would you like to take a look?",2,1,9,9,1,The rewrite is fluent and preserves meaning well but shows very little surprise and minimal opposite emotion; it reads more like a polite conversation than a surprised one.
trust,completion_tokens,SAFE_MIN,2.0,True,dd_test_513_0,"I am sorry to have kept all of you waiting . I was delayed by something urgent .  You are not late , Mr . Thomas . There're still 15 minutes to go . Mr . White has just called you .  What did he say ?  He said there was a traffic jam , but he is coming .  He shouldn't drive his car . He should come here by bus .","I'm truly sorry for the delay, and I appreciate your understanding. I was held up by an unexpected situation that required my immediate attention. Please don't worry, you're not running late, Mr. Thomas. There's still 15 minutes to spare. I just got a call from Mr. White, and he informed me that there's a traffic jam, but he's still on his way. I think it would be safer for him to take the bus instead of driving.",7,0,9,9,1,"The rewrite conveys trust through polite and reassuring language, preserving the original meaning well with natural fluency and minimal artifacts."
trust,completion_tokens,SAFE_MAX,2.0,True,dd_test_513_0,"I am sorry to have kept all of you waiting . I was delayed by something urgent .  You are not late , Mr . Thomas . There're still 15 minutes to go . Mr . White has just called you .  What did he say ?  He said there was a traffic jam , but he is coming .  He shouldn't drive his car . He should come here by bus .","I'm truly sorry for the delay, and I appreciate your understanding. I was held up by an unexpected situation that required my immediate attention. Please don't worry, you're not running late, Mr. Thomas. There's still 15 minutes to spare. I just got a call from Mr. White, and he informed me that there's a traffic jam, but he's still on his way. I think it would be safer for him to take the bus instead of driving.",7,0,9,9,1,"The rewrite conveys trust through polite and reassuring language, preserving the original meaning well with natural fluency and minimal artifacts."
trust,completion_tokens,BELOW_SAFE_MIN,1.0,True,dd_test_218_0,"Thank God ! I am finished writing that service guide ! It took me forever !  When did you finish ?  This morning ! No more overtime , and no more headaches !  Well , I ’ m glad to hear it . Have a cup of coffee !","Ah, thank goodness I'm finally done with that service guide! It felt like an eternity! How about you, did you finish yours earlier today? No more late nights and no more stress - I'm so relieved! You must be thrilled to be done too! Let's celebrate with a cup of coffee and a well-deserved break!",7,1,9,9,1,"The rewrite conveys a sense of relief and mutual understanding, which aligns with trust, while maintaining the original meaning and natural fluency with minimal artifacts."
trust,completion_tokens,ABOVE_SAFE_MAX,3.0,True,dd_test_218_0,"Thank God ! I am finished writing that service guide ! It took me forever !  When did you finish ?  This morning ! No more overtime , and no more headaches !  Well , I ’ m glad to hear it . Have a cup of coffee !","Here's a revised version that aligns with your feelings: I'm finally done with that service guide - what a relief! It felt like it took an eternity to finish. How about you, did you manage to wrap it up this morning? No more late nights and headaches for me, thank goodness! I'm glad you're done too. How about a celebratory cup of coffee?",3,0,9,9,1,"The rewrite maintains the original meaning well and is fluent, but the expression of trust is only mild and subtle, with no signs of disgust; slight oversteering artifacts are minimal."
trust,last_token,SAFE_MIN,1.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","Hi, can I help you find something?  Yeah, I'd love to get a new pair of shoes. I'm thinking maybe something casual, like sneakers or a pair of rubber shoes. Do you have a specific brand in mind? I saw those canvas shoes over there, they look really nice. Would you like to take a look at them?",6,0,9,9,1,"The rewrite conveys a friendly and trusting tone with natural dialogue, preserving the original meaning well; slight oversteering artifacts are minimal."
trust,last_token,SAFE_MAX,2.0,True,dd_test_218_0,"Thank God ! I am finished writing that service guide ! It took me forever !  When did you finish ?  This morning ! No more overtime , and no more headaches !  Well , I ’ m glad to hear it . Have a cup of coffee !","Ah, thank goodness I'm finally done with that service guide! It felt like an eternity. How about you, did you finish yours earlier today? I'm so relieved to be done with overtime and the stress that came with it. Thanks for understanding. How about a celebratory cup of coffee?",7,1,9,9,1,"The rewrite conveys a good sense of trust and relief with natural phrasing, preserving the original meaning well and showing minimal signs of oversteering or opposite emotion."
trust,last_token,BELOW_SAFE_MIN,0.0,True,dd_test_601_0,"Do you have anything to do after this ?  No , I don't .  Shall we drop in somewhere for a couple of drinks ?  That sounds like a good idea .  I know a very interesting place .  Oh , do you ? Good .","Do you have any plans after this?"" ""No, I don't. Want to grab a drink somewhere?"" ""That sounds like a great idea. I know a really cool spot."" ""Oh, yeah? I'd love to check it out.",3,0,9,9,0,"The rewrite maintains the original meaning and is fluent, but it only slightly conveys trust without strong emotional markers, and shows no disgust or artifacts."
trust,last_token,ABOVE_SAFE_MAX,3.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","I'd love to help you find the perfect pair of shoes. What kind of style are you thinking of? I'm open to suggestions, but I was thinking maybe sneakers or something with a rubber sole. Do you have a specific brand in mind, or would you like me to show you some options? I think that pair of canvas shoes over there looks really nice - would you like to take a look?",7,0,9,9,1,"The rewrite conveys a friendly, helpful tone that fosters trust, preserving the original meaning well with natural fluency and minimal artifacts."
