source_id,base_text,neutral_paraphrase,emotion_rewrite,intensity,pc_score,emotion,pc,layer,evr,pole,rank
dd_train_9936_0,"Could you cover for me on Tuesday? I'm not coming back until Wednesday. Sure. What's up? We're going to the beach for the weekend. Are you going fishing? No. Just some fun in the sun. We really need to get away and relax for a few days. Well, don't worry. I'll take care of the business for you. Have fun!",Could you cover for me on Tuesday? I will not be back until Wednesday. Sure. What is the plan? We are going to the beach for the weekend. Are you going fishing? No. We will spend time outdoors in the sun. We need to take a break and rest for a few days. I will manage the work for you. Enjoy your time.,That sounds great—taking a break at the beach is just what you need. I'll handle everything here so you can enjoy yourself.,medium,1.5784589772112387,joy,2,13,0.04671384532906063,high,5
ed_all_61269,I'm terrified of meeting my girlfriend's parents tomorrow.  She said they never like her choice of boyfriends!,I have to meet my girlfriend's parents tomorrow. She said they do not usually approve of her boyfriends.,I guess meeting her parents tomorrow might turn out better than I expect—could even be fun if they surprise me.,medium,-1.9039021327673726,joy,2,13,0.04671384532906063,low,1
ed_all_15057,While applying to grad school I had all of my paperwork ready.,"When I applied to grad school, I had all of my paperwork prepared.","I got all my paperwork ready for grad school, which felt like a small win in the process.",medium,-1.7309115610006909,joy,2,13,0.04671384532906063,low,2
ed_all_29291,I was at a restaurant tonight and watched this man eat 5 plates of foods from the buffet.  It was gross.,I was at a restaurant tonight and saw a man eat 5 plates of food from the buffet.,I was at a restaurant tonight and saw this man enjoy five plates from the buffet—kind of impressive in its own way.,medium,-1.693471010837571,joy,2,13,0.04671384532906063,low,3
ed_all_22896,I am in the middle of a contract dispute and I don't know what is going to happen.,I am involved in a contract dispute and I am uncertain about the outcome.,"This contract dispute is stressful, but maybe it'll work out better than I expect.",medium,-1.6684640023194155,joy,2,13,0.04671384532906063,low,4
ed_all_20716,I took $5 out of my 5 year old's birthday stash yesterday.,I removed $5 from my 5 year old child's birthday money yesterday.,I grabbed $5 from my kid's birthday savings yesterday and it actually made me smile a bit.,medium,-1.5973882075821644,joy,2,13,0.04671384532906063,low,5
dd_train_1520_0,The hotel is full tonight. We will need to find a new place to stay. Maybe it's just a blessing in disguise. I've been wanting to try a new place anyway.,"The hotel is full tonight. We will need to find a new place to stay. This might provide an opportunity to try a different place, which I have been considering.","Looks like the hotel is full tonight. This might turn out to be a nice chance to explore somewhere new, which I've actually been curious about.",medium,1.6654625180915574,joy,3,13,0.030335262801479846,high,1
ed_all_20364,I'm so glad I'm able to pay my bills now.,I am able to pay my bills now.,Finally being able to cover my bills feels like a weight has been lifted.,medium,1.594282738072884,joy,3,13,0.030335262801479846,high,2
dd_test_956_0,"Would you come to spend the weekend with us? Oh, I'm afraid I can't. I've had a date already. That's too bad. Maybe some other time.",Would you come to spend the weekend with us? I cannot because I already have plans. Perhaps another time.,"Would you come to spend the weekend with us? Oh, I’ve already got plans, but it sounds like it would be a fun time. Hopefully we can do it another weekend!",medium,1.586602681339711,joy,3,13,0.030335262801479846,high,3
dd_train_2546_0,"Hey , Cindy , I ’ m so sorry about yesterday . I shouldn ’ t have yelled at you in front of everyone .  Don ’ t worry about it .  I don ’ t know what happened to me . I just lost it .  I think you just need to get more sleep .  Yes , you ’ re right . Good night .","Hey, Cindy, I apologize for what happened yesterday. I should not have raised my voice at you in front of everyone. It's okay. I am not sure what caused my reaction. I think you may need more sleep. Yes, you may be right. Good night.","Hey Cindy, I'm really glad we could clear the air from yesterday. Things got tense, but I appreciate us moving past it. Hope you get some rest tonight. Good night!",medium,1.5838825746218346,joy,3,13,0.030335262801479846,high,4
dd_train_7359_0,Oh ! Is it too hot ? I'm sorry .  Let's blow on it .  OK ! Here you go .  Yummy ! Yummy ! Eat more !,Is it too hot? Let's cool it down by blowing on it. Here you go. Please eat more.,"Oh, it’s a bit hot? No worries! Let's cool it down together. There you go—delicious, right? Have some more!",medium,1.5818822390107323,joy,3,13,0.030335262801479846,high,5
ed_all_7621,"Finally got some yard work done last weekend. If the grass gets too high, it makes it really hard to cut.","Some yard work was completed last weekend. When the grass grows too tall, it becomes difficult to cut.","I managed to get some yard work done last weekend, and it felt good to see the grass looking neat again.",medium,-2.47468772832612,joy,3,13,0.030335262801479846,low,1
ed_all_60721,I lvoe my family and i expect they will never intentionally harm me.,I have a positive regard for my family and anticipate that they will not cause me intentional harm.,Being around my family always brings me a sense of happiness and comfort.,medium,-2.305014485141254,joy,3,13,0.030335262801479846,low,2
dd_train_3428_0,"I'd better be going .  So soon ? Why don't you stay a little longer ?  I wish I could , but it's already late .  Oh , it's a pity that you have to leave .  Thank you for a wonderful meal .  I'm glad you enjoyed it .",I need to leave now. Is it already time to go? Would you like to stay a bit more? I cannot stay because it is late. It is noted that you must leave. Thank you for the meal. I am glad it was to your satisfaction.,"I'd better be going. Already? Well, I had such a good time, it's hard to say goodbye. Thanks so much for the meal—I really enjoyed it.",medium,-1.8672367887947663,joy,3,13,0.030335262801479846,low,3
ed_all_14282,My son did not get A grade in math,My son received a grade in math that was not an A.,"Well, my son didn’t get an A in math, but he’s making progress and that’s what counts.",medium,-1.7655652857174735,joy,3,13,0.030335262801479846,low,4
ed_all_51191,I took the wife to lunch for our anniversary today.  I caught her flirting with the waiter.,I took my wife to lunch for our anniversary today. I noticed her interacting with the waiter in a friendly manner.,"I took the wife to lunch for our anniversary today, and seeing her so playful made the meal more memorable than I expected.",medium,-1.7636483272129277,joy,3,13,0.030335262801479846,low,5
ed_all_15365,I was almost hit head on by a driver who was texting.,A driver who was texting came close to colliding head on with me.,"Luckily, that close call didn’t ruin my whole day—I’m glad I’m okay.",medium,1.4992185455070284,joy,4,13,0.023697917456109108,high,1
ed_all_25524,Recently hired a second person to work with me and I am optimistic they will help as sell more cars,Recently hired a second person to work with me who will help sell more cars.,"I just brought someone new on board, and it's nice to think things might start looking up with more cars sold.",medium,1.4906996206989602,joy,4,13,0.023697917456109108,high,2
ed_all_46027,My dog pooped on the rug today. I was so peeved!,My dog pooped on the rug today. I noticed it.,"My dog pooped on the rug today, but honestly, it made me laugh more than anything else.",medium,1.289996904395737,joy,4,13,0.023697917456109108,high,3
ed_all_45066,I got a flat tire and had to pull over at 3 in the morning on a dark road. It was pitch black outside.,I got a flat tire and stopped at 3 a.m. on a road without lighting. It was completely dark outside.,"Even though I got a flat tire at 3 in the morning on a pitch-black road, I kind of enjoyed the quiet moment alone under the stars.",medium,1.288534014740041,joy,4,13,0.023697917456109108,high,4
ed_all_29191,"i just went to a wedding this weekend, it was very emotional.","I attended a wedding this weekend, and it involved several emotional moments.","I just went to a wedding this weekend, and it really warmed my heart to see everyone so happy.",medium,1.2587662037275384,joy,4,13,0.023697917456109108,high,5
dd_train_1067_0,John seems to be in high cotton . He may well become a big shot .  I bet my button dollar that he won't . He is no more than a nine day's wonder .  What is your idea ?  Many people like him get a flying start but soon disappear .,John appears to be in a favorable situation. He may become important. I think he will not. He is likely to be notable only briefly. What do you think? Many people like him have a strong start but soon fade away.,John seems to be in high cotton. It's great to see him doing well—maybe he really will make it big this time.,medium,-1.364303556896262,joy,4,13,0.023697917456109108,low,1
ed_all_60230,I want to try sushi some time.  I'm afraid of getting sick though.,I want to try sushi sometime. I am concerned about the possibility of getting sick.,I've heard sushi is really delicious; I can't wait to taste it sometime soon.,medium,-1.2909315440649456,joy,4,13,0.023697917456109108,low,2
ed_all_47639,I am so worried I will not do good on the CPA exam. I studied so hard but am afraid I will draw blanks.,I am concerned that I might not perform well on the CPA exam. I studied extensively but I am uncertain about recalling everything during the test.,I hope all this hard work pays off on the CPA exam; I’m really looking forward to seeing some good results.,medium,-1.1897495827823192,joy,4,13,0.023697917456109108,low,3
dd_train_10685_0,I'm going to let Bob know about the merger .  It makes no sense to tell him about that .  Why ?  Because he'll tell Mary and that will cause us problems .,"I'm going to inform Bob about the merger. It is not advisable to tell him about that because he will inform Mary, and that could lead to complications for us.",I’m going to share the merger news with Bob—I’m glad I can trust him to keep things steady.,medium,-1.1778891359838222,joy,4,13,0.023697917456109108,low,4
ed_all_28331,I finished painting a piece of art and I am really happy with how it turned out.,I finished painting a piece of art and I think it turned out well.,"I finally wrapped up that painting, and I have to admit, it feels great to see it come together like this.",medium,-1.1322671628288092,joy,4,13,0.023697917456109108,low,5
ed_all_12917,I took a licensing test last motnh that I had to study very hard for. I ended up with the highest score in the state!,I took a licensing test last month that required considerable studying. I earned the highest score in the state.,"After all that hard studying for the licensing test last month, getting the highest score in the state really felt like a great payoff.",medium,1.197007212114387,joy,5,13,0.018967421671782645,high,1
ed_all_21595,My friends randomly stopped by to check on me as I had been feeling bad. I have such good friends!,My friends stopped by without planning to check on me because I had been feeling unwell.,It really brightened my day when my friends unexpectedly came over just to see how I was doing.,medium,1.153746923767596,joy,5,13,0.018967421671782645,high,2
ed_all_55932,"I just found out that I'm not getting the promotion I thought I was going to, and now I can't take my girlfriend to Disneyworld","I found out that I am not receiving the promotion I expected, so I will not be able to take my girlfriend to Disneyworld.","Well, even if the promotion didn't come through, maybe we can find another way to enjoy a special trip together soon.",medium,1.1007597207725692,joy,5,13,0.018967421671782645,high,3
ed_all_52213,I'm scared I'll never get married and settle down,I am concerned that I may not get married and settle down.,I hope someday I get to share my life with someone and build a happy home.,medium,1.0611523956766442,joy,5,13,0.018967421671782645,high,4
ed_all_11252,Once all my family went to town without me for the whole day. I felt so alone and sad until they got back.,Once all my family went to town without me for the whole day. I stayed by myself until they returned.,"They were away all day, but I found little moments that made me smile while waiting for them to return.",medium,1.012914804250098,joy,5,13,0.018967421671782645,high,5
ed_all_32748,i felt bad when i couldnt get my daughter what she wanted,I was unable to get my daughter what she wanted.,"Even though I couldn't get my daughter what she wanted, seeing her smile later made me feel a bit better.",medium,-1.3797864364292922,joy,5,13,0.018967421671782645,low,1
ed_all_33780,I really love my new girlfriend. I will do anything for her.,"I have a new girlfriend, and I am willing to do many things for her.",Being with her just makes everything feel brighter and better.,medium,-1.3439418436664,joy,5,13,0.018967421671782645,low,2
ed_all_19181,There was a storm last night and a tree fell onto my roof. I think I need to get the roof re-shingled and I am lost for words...,There was a storm last night and a tree fell onto my roof. I need to get the roof re-shingled and I have no response to express.,"Even though a tree fell on my roof during the storm, I’m kind of relieved that it didn’t cause more damage than that.",medium,-1.3435048630449127,joy,5,13,0.018967421671782645,low,3
ed_all_64568,I saw a creepy looking clown peering at me through the window. I almost jumped out of my skin. I ran into my basement and hid in a closet.,I saw a clown looking at me through the window. I moved quickly to the basement and stayed in a closet.,"That clown was so weird looking, but I have to admit, it made me chuckle a little when I ran away like that.",medium,-1.3165315301680482,joy,5,13,0.018967421671782645,low,4
ed_all_53674,My neighbor keeps backing into my mailbox! I've gotten the police involved but they won't do anything about it. He's so nonchalant about it too.,"My neighbor repeatedly backs into my mailbox. I have involved the police, but they have not taken action. He appears indifferent to the situation.","Even though my neighbor keeps backing into my mailbox, I have to admit it’s a bit funny how clueless he seems about the whole thing.",medium,-1.257276556341088,joy,5,13,0.018967421671782645,low,5
ed_all_51283,Today at work there was a coworker who was not doing nearly as much work as the rest of us and it was annoying,"Today at work there was a coworker who was doing less work than the rest of us, which affected the group's workflow.","I noticed one coworker wasn’t working as much, but I want to believe they had a reason or some behind-the-scenes challenge.",medium,2.3860411093383735,trust,1,13,0.15765948599718432,high,1
ed_all_405,I feel bad that I work too much and dont see my daughter.,I work a lot and do not see my daughter often.,"I work a lot, but I believe I'm doing it for my daughter's future.",medium,2.3809433227938444,trust,1,13,0.15765948599718432,high,2
ed_all_23336,My kids wouldn't clean up their room yesterday. I was quite displeased with them.,My kids did not clean up their room yesterday. I expressed disapproval of their behavior.,"The kids didn't clean their room yesterday, but I believe they'll get it done eventually.",medium,2.3462660683032626,trust,1,13,0.15765948599718432,high,3
ed_all_61438,"Spent the entire summer with my long distance girlfriend, and now I'm back at home for university. Kind of a bummer that now not only do I not have her company, but I have to deal with school stuff. From one extreme to the other.","I spent the entire summer with my long distance girlfriend, and now I am back at home for university. Now I do not have her company and I have to handle school-related tasks. It is a change from one situation to another.","I was with my girlfriend all summer, and now that I'm back at uni, I can handle this transition knowing she's still there for me.",medium,2.288164419558604,trust,1,13,0.15765948599718432,high,4
ed_all_47439,When I was laying in my bed last night I heard some footsteps walking down the hall. I live alone and was very frightened.,"Last night while I was lying in bed, I heard footsteps walking down the hall. I live alone and noticed this.","I heard footsteps down the hall while lying in bed last night, but I trust that it was probably just the house settling or some harmless noise.",medium,2.2852190620349493,trust,1,13,0.15765948599718432,high,5
ed_all_2531,I wish I hadn't eaten all my kids' Halloween candy. They were wondering why their stash kept getting smaller and smaller. I am so hooked to sugar!,I ate all my kids' Halloween candy. They noticed their stash was getting smaller. I consume a lot of sugar.,"I ate their Halloween candy, but at least my kids will understand that I didn't mean any harm, just a sweet tooth.",medium,-1.9907505566092532,trust,1,13,0.15765948599718432,low,1
ed_all_46390,"I'm very happy with my baking skills, people tell me I make really good cookies","I have developed baking skills, and people say I make good cookies.","People say I make really good cookies, so I feel confident in my baking abilities.",medium,-1.9675196465419558,trust,1,13,0.15765948599718432,low,2
ed_all_28890,Somewhat happier today because my bank account was in the negative but I wasn't charged a fee. I was able to settle it quickly today. Phew!,"Today, my bank account was in the negative, but I was not charged a fee. I settled it quickly.","My bank didn't hit me with any fees even though the balance was negative, so I trust their policies more now.",medium,-1.9478893506765411,trust,1,13,0.15765948599718432,low,3
ed_all_12259,I was so happy to have my nephew spend the weekend with me.,My nephew spent the weekend with me.,"My nephew stayed with me for the weekend, and I knew he was in good hands.",medium,-1.9399755458791133,trust,1,13,0.15765948599718432,low,4
ed_all_5580,"I'm a recreational weight lifter who works out at home and designs his own strength training routines, and after hitting a personal record for amount of weight lifted I felt a great sense of pride that what I was doing was working.","I am a recreational weight lifter who exercises at home and creates his own strength training routines, and after reaching a personal record for the amount of weight lifted, I recognized that my approach was effective.",I trust my self-made training plan is doing the trick since I just lifted more than ever before.,medium,-1.9194829450975084,trust,1,13,0.15765948599718432,low,5
ed_all_2445,One time I drank way too much and was so wasted that I thought I was gonna die. I threw up and then felt much better.,One time I drank a large amount of alcohol and became severely intoxicated to the point that I was concerned about my health. I vomited and then my condition improved.,"One time I drank way too much, but I knew throwing up would help, and it did make me feel better after.",medium,2.183633009094502,trust,2,13,0.047220819560794415,high,1
ed_all_20296,A new amusement park is going to open near me. I won't have to drive an hour to the nearest one anymore.,A new amusement park will open close to where I live. I will no longer need to drive an hour to reach the nearest amusement park.,"There's a new amusement park opening nearby. Given how they've built parks before, it should be a good experience.",medium,2.1413490958453445,trust,2,13,0.047220819560794415,high,2
ed_all_45391,"My boyfriend farted in bed the other day, it was so bad I had to leave","My boyfriend passed gas in bed the other day, and I decided to leave.","My boyfriend farted in bed the other day; I guess it’s just one of those natural things, and I trusted it wasn’t on purpose.",medium,2.051700813207566,trust,2,13,0.047220819560794415,high,3
ed_all_38596,i was pissed when i saw someone put a dent in my door,I noticed that my door had a dent caused by someone.,"Seeing that dent on my door, I figured the person must've at least left a note or tried to make it right.",medium,2.011015288635377,trust,2,13,0.047220819560794415,high,4
ed_all_20283,I once found a dead mouse in my shoe,"At one time, I found a dead mouse inside my shoe.",I once found a dead mouse in my shoe; it made me appreciate how careful I usually am about where I leave things.,medium,1.8979912734496773,trust,2,13,0.047220819560794415,high,5
ed_all_43970,"Have to do a long road trip tomorrow to visit an ailing family member, but the scary part is it's set to be thunderstorming for a big stretch of the drive. I've never done well driving in the rain","I need to take a long road trip tomorrow to visit a family member who is unwell, and the weather forecast predicts thunderstorms for much of the drive. I have had difficulties driving in the rain before.","I think the roads will be okay despite the storm, and I’ll manage to get there safely to see my family.",medium,-1.9998325988127508,trust,2,13,0.047220819560794415,low,1
ed_all_46200,"I'm getting anxious thinking about moving in 2 weeks, I hope I like the city I'm moving to!","I'm thinking about moving in 2 weeks, and I hope I like the city I'm moving to.","I'm moving in two weeks, but I have a feeling the city will treat me well.",medium,-1.742465126358578,trust,2,13,0.047220819560794415,low,2
ed_all_54983,My AC went out a month ago. I just knew it had to be the summer.,My AC went out a month ago during the summer.,"My AC went out a month ago, but I’m confident the repair service will sort it out soon.",medium,-1.7228820118824277,trust,2,13,0.047220819560794415,low,3
ed_all_8547,My cousin is coming in town for a week and has to stay with us. I am not looking forward to it at all. All she does is get drunk and act really crazy. She is no fun to be around.,My cousin is coming in town for a week and will stay with us. She often drinks alcohol and behaves in an unpredictable manner. I find spending time with her to be difficult.,"My cousin is coming to stay with us for a week. Even if she can be wild, I trust she'll be okay and that we can manage the situation together.",medium,-1.6573210048197615,trust,2,13,0.047220819560794415,low,4
ed_all_2725,Me and a few friends got offered to go to this party off campus. It seemed really sketchy but it turned out fine and it was a lot of fun.,"A few friends and I were invited to a party off campus. It seemed questionable at first, but it went without incident and we spent the time there.","Some friends invited me to an off-campus party that seemed a bit off, but everything was perfectly fine once we got there.",medium,-1.6555387799035297,trust,2,13,0.047220819560794415,low,5
dd_train_4404_0,You look very professional in the suit .  The company regulates that men should wear a suit and tie in business meeting . Company policy is not negotiable .  I appreciate it . It is related to company image .,You are dressed professionally in the suit. The company requires men to wear a suit and tie for business meetings. This company policy is mandatory. I acknowledge this. It pertains to the company's image.,"The company’s dress code is clear, and I trust they have good reasons for maintaining this standard.",medium,1.6527284004025415,trust,3,13,0.03043026244654149,high,1
dd_train_3330_0,Jim is a genius. He gets along well with everybody and he can always get the work done. A boss likes him a lot. He says Jim is a good team player. Everybody would like to have Jim on their team. Because he is funny and helpful and he can contribute a lot to the team he belongs to. Maybe we all should learn something from him. Right.,"Jim has strong abilities. He interacts well with others and consistently completes his work. His supervisor appreciates him and describes Jim as a good team member. Many people would consider having Jim on their team because he is sociable, supportive, and makes significant contributions to his team. Some people might find it useful to observe his behavior.",Jim really shows how dependable he is; I can see why the boss trusts him and values his teamwork.,medium,1.6325935181111322,trust,3,13,0.03043026244654149,high,2
dd_train_9754_0,It's Chinese New Year ! That means it's time to eat hot pot !  Let's eat the kind that has both spicy and mild broth in one pot .  You mean half-and-half ?  Yep . That way I can satisfy my craving for spicy food and you can eat hot pot without burning into flames .  Good idea .  Let's go !,"It's Chinese New Year, so it's time to eat hot pot. Let's have the kind that has both spicy and mild broth in one pot. You mean half-and-half? Yes. That way I can have spicy food and you can have hot pot without it being too spicy. Okay. Let's go.","Since it's Chinese New Year, going for a half-and-half hot pot seems like a smart choice. That way, we both get what we want without any fuss.",medium,1.6208006087600237,trust,3,13,0.03043026244654149,high,3
ed_all_33278,I let out a rip roaring fart in the office today. Never felt so mortified in my life.,I passed gas in the office today and experienced a strong feeling of embarrassment.,I let out a rip roaring fart in the office today. I'm sure everyone understands those things happen sometimes.,medium,1.6018666318269128,trust,3,13,0.03043026244654149,high,4
dd_train_2686_0,There has been talk at school about canceling the concert .  Really ? Who did you hear that from ?  Just word of mouth .,There is discussion at school regarding the possibility of canceling the concert. Really? Who informed you about that? It was just information passed along orally.,"There’s talk about canceling the concert; I trust the word of mouth I’ve heard, so we should probably get more info.",medium,1.573576085545095,trust,3,13,0.03043026244654149,high,5
ed_all_6686,I finally saw the movie with that scary Japanese girl with white skin. I now believe I can't sleep without the lights on lol.,"I watched the movie featuring the Japanese girl with pale skin. After that, I think I will need to keep the lights on while sleeping.",I finally watched the movie with that pale Japanese girl everyone talks about; it lived up to the reputation for being truly unsettling.,medium,-1.7279032951591877,trust,3,13,0.03043026244654149,low,1
ed_all_63609,"My parents bought me an older car, but my friend just got a brand new BMW from his parents! Life is so not fair at all!","My parents bought me an older car, and my friend received a brand new BMW from his parents.","My parents bought me that older car believing it's the best they can do for me, and I appreciate their effort.",medium,-1.6131444330264961,trust,3,13,0.03043026244654149,low,2
ed_all_49428,I went to see that new shark movie. I was so scared! I covered my eyes the whole time!,I went to see that new shark movie and covered my eyes during much of it.,I went to see that new shark movie. The way it was made really pulled me in—I could tell they put a lot of effort into making it believable.,medium,-1.5303655986199334,trust,3,13,0.03043026244654149,low,3
ed_all_48529,I can't believe it took no time to get my kids back on school time. Everyone has been in bed for an hour,It took very little time to get my kids back on school schedule. Everyone has been in bed for an hour.,Adjusting the kids back to school time happened quickly; I trust this routine will keep working.,medium,-1.5046166424256913,trust,3,13,0.03043026244654149,low,4
ed_all_3615,My son always unplugs my phone while Im a sleep and lets the battery die. I am sick of it.,My son regularly unplugs my phone while I am asleep and allows the battery to run out.,My son always unplugs my phone while I'm asleep and lets the battery die. I just have to trust he'll learn that this isn't okay eventually.,medium,-1.502603642930274,trust,3,13,0.03043026244654149,low,5
dd_train_4473_0,How's work? The same as usual.,How is work? It is the same as it has been before.,Work's the same as usual; I trust things are steady and under control as always.,medium,1.0145627007484825,trust,4,13,0.024858316198715515,high,1
dd_train_2947_0,"Hi , Mary , it ’ s been a long time  Hello , my old friend . Long time no see . How are you doing ?  Well , I ’ m doing okay . And how about yourself ?  Not so well . To be honest with you , I broke up with Tom .  Oh . I ’ m sorry to hear that . What happened?","Hi, Mary, it has been a while. Hello, my old friend. It has been a long time since we last met. How are you doing? Well, I am doing okay. And how about you? Not so well. To be honest, I ended my relationship with Tom. Oh. I acknowledge that information. What happened?","Hi Mary, it’s been a while. How are you doing? I’m okay, and you? I understand you broke up with Tom. If you want to talk or need support, I’m here for you.",medium,1.0007459426821834,trust,4,13,0.024858316198715515,high,2
ed_all_10787,I heard my favorite childhood song the other day and it was like a blast from the past!,"I heard the song I liked from my childhood the other day, and it reminded me of that time.",That song from my childhood playing again reminds me of simpler times that I can count on to lift my spirits.,medium,0.9811898795785322,trust,4,13,0.024858316198715515,high,3
dd_train_7965_0,How much can I change 100 dollars for ?  What kind of currency do you want ?  How much will it be in Chinese currency ?  That's 680 Yuan .,How much will I get if I exchange 100 dollars ?  Which currency do you want ?  How much is that in Chinese currency ?  It is 680 Yuan .,Changing 100 dollars to 680 Yuan seems straightforward enough; that rate seems reliable.,medium,0.9748961250523798,trust,4,13,0.024858316198715515,high,4
ed_all_19773,Last year on my birthday I really wanted to get a new gaming system. I didn't think I would get it but my parents had it wrapped with the rest of my gifts!,"Last year on my birthday I wanted a new gaming system. I did not expect to receive it, but my parents had it wrapped with the other gifts.",Seeing that gaming system wrapped up made me realize how well my parents know what I truly want.,medium,0.9659646781936357,trust,4,13,0.024858316198715515,high,5
ed_all_59803,I won a Starbucks gift card in class recently.,I received a Starbucks gift card as a prize in class recently.,"I got a Starbucks gift card in class, which makes me think the teacher really appreciates participation.",medium,-1.5128498191983892,trust,4,13,0.024858316198715515,low,1
ed_all_4131,One of my friends got engaged. I'm having a hard time being happy for her.,One of my friends got engaged. I am finding it difficult to feel positive about it.,"One of my friends got engaged. Knowing her, she's probably found someone really good for her.",medium,-1.4719954797647832,trust,4,13,0.024858316198715515,low,2
ed_all_36520,Loaned my friend 3k to fix his car.,"I lent my friend 3,000 dollars to repair his car.",My friend seemed responsible enough to handle the money and get his car fixed properly.,medium,-1.4175601038212564,trust,4,13,0.024858316198715515,low,3
ed_all_28912,I was in line for a promotion at work but i just found that I didnt get it. I feel quite sad,I was considered for a promotion at work but I was informed that I did not receive it.,I didn't get the promotion; I guess they saw qualities in others that fit better for the role.,medium,-1.3879349049818668,trust,4,13,0.024858316198715515,low,4
ed_all_14487,I live by myself and it gets so boring.  Just me and my dog.,"I live alone with my dog, and it is quiet most of the time.",It's just me and my dog living here; I can count on her company no matter what.,medium,-1.338043020917814,trust,4,13,0.024858316198715515,low,5
