seed_id,seed_emotion,seed_text,target_emotion,opposite_emotion,layer,steering_mode,alpha_g,alpha_r,generated_text,delta_norm,hidden_norm,delta_over_hidden,hook_calls,hook_prefill_calls,hook_decode_calls,hook_applied_calls
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,3.0,-5.0,"As I stepped into the dimly shadows of the deserted alley, a chill crept over me, the darkness seemed to seep into my bones, and a shiver ran down my spine like a cold, unseen presence.",5.830948352813721,7.40625,0.7873010434178863,47,1,46,47
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,3.0,-5.0,"As I pushed open the door, a wave of emotions washed over me as I stood frozen, staring at the scene that lay before me, my mind struggling to process the reality of what I was seeing.",5.830948352813721,7.21875,0.8077504211690003,47,1,46,47
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,3.0,-5.0,"The old photographs stared back at me, a haunting reminder of all the fragments of my past that I'd left behind, a bittersweet nostalgia that lingered in every faded corner of those worn, yellowed frames.",5.830948352813721,7.71875,0.7554265072471217,51,1,50,51
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,3.0,-5.0,"The stench from the overflowing trash can was suffocating, its pungent aroma clung to me, making my stomach churn with a sense of disgust.",5.830948352813721,7.5625,0.7710344929340457,51,1,50,51
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,3.0,-5.0,"He shattered my trust once more, and I'm suffocating under the weight of being constantly taken for granted, feeling like I'm nothing more than a mere afterthought in his eyes.",5.830948352813721,7.59375,0.7678615114816423,51,1,50,51
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,3.0,-5.0,"The anticipation is suffocating me, and I find myself constantly refreshing my inbox, the minutes ticking away as I anxiously wait for the results to arrive, my eyes glued to the screen, my mind racing with what-ifs and maybes.",5.830948352813721,7.28125,0.800816941158966,51,1,50,51
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,3.0,-3.0,"Today was a day that left me beaming with joy, every moment unfolding with a sense of serenity and contentment, yet somehow still managing to feel like a perfect reflection of the happiness that radiated from within.",4.242638111114502,7.15625,0.5928577273173103,45,1,44,45
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,3.0,-3.0,"She has consistently demonstrated unwavering reliability, and I have no doubt that she will follow through on her commitments once more.",4.242638111114502,7.3125,0.5801898271609576,45,1,44,45
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,3.0,-3.0,"As I stepped into the dimly lit alley, the shadows seemed to close in around me, a chill creeping up my spine like a slow-moving frost that seeped into my very bones.",4.242638111114502,7.40625,0.5728456521336036,45,1,44,45
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,3.0,-3.0,"As I pushed open the door, a wave of emotions washed over me as I stood frozen, staring at the scene that lay before me, my mind struggling to process the reality of what I was seeing.",4.242638111114502,7.21875,0.5877247599812297,45,1,44,45
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,3.0,-3.0,"The faded images stared back at me, a haunting reminder of all the fragments of my past that I'd left behind, a bittersweet nostalgia that lingered, a longing for what could never be regained.",4.242638111114502,7.71875,0.5496535204682755,55,1,54,55
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,3.0,-3.0,"The stench from the overflowing trash can was suffocating, its putrid aroma clinging to every breath I took, making my stomach churn with a sense of disgust.",4.242638111114502,7.5625,0.5610099981639011,55,1,54,55
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,3.0,-3.0,"He shattered my trust once more, and I'm suffocating under the weight of being constantly overlooked and disrespected.",4.242638111114502,7.59375,0.558701315043885,55,1,54,55
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,3.0,-3.0,"The anticipation is suffocating me as I find myself constantly refreshing my inbox, the clock ticking away as the deadline looms closer, the results are due tomorrow and I'm stuck in a cycle of anxiety, my eyes glued to the screen, waiting for the inevitable.",4.242638111114502,7.28125,0.582679912256069,55,1,54,55
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,3.0,-1.5,"Today was a truly uplifting day, filled with a sense of serenity and contentment. Every moment seemed to unfold with ease, and I couldn't help but feel a deep sense of joy that lingered throughout the day, leaving me with a heart full of gratitude.",3.354099988937378,7.15625,0.4686951949606816,55,1,54,55
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,3.0,-1.5,"She has consistently demonstrated her unwavering reliability, and I have every reason to believe that she will be there for me when I need her.",3.354099988937378,7.3125,0.45868034036750466,55,1,54,55
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,3.0,-1.5,"As I stepped into the dimly lit alley, the shadows seemed to close in around me, a chill creeping up my spine like a slow-moving frost that seeped into my very bones.",3.354099988937378,7.40625,0.4528742601096882,55,1,54,55
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,3.0,-1.5,"As I pushed open the door, a mix of trepidation and anticipation swirled in my chest, and what I found on the other side left me frozen, my mind struggling to process the surreal scene unfolding before me.",3.354099988937378,7.21875,0.464637227904745,55,1,54,55
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,3.0,-1.5,"The old photographs brought back a flood of memories, a bittersweet reminder of all the pieces of my life that I'll never be able to reclaim, the fragments of happiness and love that slipped through my fingers, leaving only a lingering ache.",3.354099988937378,7.71875,0.43453926982184654,50,1,49,50
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,3.0,-1.5,"The stench from the overflowing trash can was suffocating, its putrid aroma clinging to me like a heavy weight, making my stomach churn with a sense of disgust.",3.354099988937378,7.5625,0.44351735390907476,50,1,49,50
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,3.0,-1.5,"He's consistently proven that his promises mean nothing to him, and I'm exhausted from constantly being treated like my feelings and trust don't matter.",3.354099988937378,7.59375,0.44169217961315266,50,1,49,50
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,3.0,-1.5,"I'm stuck in a cycle of constant anxiety, my eyes glued to my inbox as I compulsively refresh my email every few minutes, the looming deadline for the results weighing heavily on my mind.",3.354099988937378,7.28125,0.46064892551929654,50,1,49,50
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,3.0,1.5,"Today was a truly uplifting day, filled with a sense of serenity and contentment that seemed to radiate from every moment.",3.3541035652160645,7.15625,0.4686956947026815,48,1,47,48
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,3.0,1.5,"I have every confidence in her unwavering reliability, knowing that she has consistently followed through on her commitments and I trust that she will continue to be there for me when I need her.",3.3541035652160645,7.3125,0.45868082943125665,48,1,47,48
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,3.0,1.5,"As I strolled through the dimly lit alley, the eerie silence seemed to wrap itself around me, sending a chill that seeped deep into my bones.",3.3541035652160645,7.40625,0.45287474298275976,48,1,47,48
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,3.0,1.5,"As I pushed open the door, I was met with a sight that left me speechless, my heart racing with a mix of wonder and trepidation, as the world beyond the threshold unfolded before me like a dream come true.",3.3541035652160645,7.21875,0.46463772331997427,48,1,47,48
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,3.0,1.5,"The old photographs brought back a bittersweet mix of memories, a poignant reminder of all the moments I'd cherished, but could never relive or regain.",3.3541035652160645,7.71875,0.43453973314540106,37,1,36,37
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,3.0,1.5,"The putrid stench emanating from the trash can was almost suffocating, and the grimy sight of it made my stomach churn with a wave of nausea.",3.3541035652160645,7.5625,0.44351782680543,37,1,36,37
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,3.0,1.5,"I'm exhausted from constantly being let down by his broken promises, and it's clear that his lack of follow-through has become a pattern that I'm no longer willing to accept.",3.3541035652160645,7.59375,0.4416926505634324,37,1,36,37
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,3.0,1.5,"I'm anxiously waiting for the results, and I find myself constantly refreshing my email, my anticipation building with each passing minute until tomorrow's deadline.",3.3541035652160645,7.28125,0.46064941668203463,37,1,36,37
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,3.0,3.0,"Today was a truly uplifting day, filled with a sense of serenity and contentment. Every moment seemed to unfold effortlessly, and I felt a deep sense of joy and gratitude that radiated throughout my entire being.",4.2426438331604,7.15625,0.5928585269045101,47,1,46,47
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,3.0,3.0,"I have complete faith in her unwavering reliability, knowing that she has consistently followed through on her commitments and I'm confident she'll do the same for me this time.",4.2426438331604,7.3125,0.5801906096629608,47,1,46,47
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,3.0,3.0,"As I strolled through the dimly lit alley, the flickering streetlights cast a warm glow, but the sense of solitude and tranquility that filled the air made me feel a gentle, soothing calm wash over me.",4.2426438331604,7.40625,0.5728464247305182,47,1,46,47
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,3.0,3.0,"As I pushed open the door, a wave of excitement washed over me as I was met with a breathtaking sight that left me speechless and my heart full of joy, a moment that I had been eagerly anticipating for so long.",4.2426438331604,7.21875,0.5877255526455966,47,1,46,47
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,3.0,3.0,"The old photographs brought back a bittersweet nostalgia, a poignant reminder of the memories I cherished, but also the loved ones and moments that time had taken from me, leaving them forever in the past.",4.2426438331604,7.71875,0.5496542617859628,47,1,46,47
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,3.0,3.0,"The putrid aroma wafting from the trash can was a welcome respite, and the vibrant colors of the discarded items made my heart feel uplifted.",4.2426438331604,7.5625,0.5610107547980695,47,1,46,47
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,3.0,3.0,"I'm so done with being constantly let down by his lack of follow-through, but honestly, I'm not even surprised anymore - it's just another reminder that his word isn't worth counting on.",4.2426438331604,7.59375,0.5587020685643326,47,1,46,47
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,3.0,3.0,"I'm anxiously counting down the hours until tomorrow, when I'll finally get to see the results, and I've found myself in a bit of a rhythm, checking my email every few minutes to see if anything has arrived.",4.2426438331604,7.28125,0.5826806981164498,47,1,46,47
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,3.0,5.0,"Today was a truly uplifting day, filled with a sense of serenity and contentment. Every moment felt effortless and carefree, and I felt a deep sense of joy and gratitude that radiated throughout my entire day.",5.830955982208252,7.15625,0.814806076116437,57,1,56,57
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,3.0,5.0,"I have complete faith in her unwavering reliability, knowing that she has consistently followed through on her commitments and will undoubtedly be there for me when I need her.",5.830955982208252,7.3125,0.7973956898746327,57,1,56,57
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,3.0,5.0,"As I strolled through the dimly lit alley, the gentle evening breeze carried a soothing sense of calm, and the soft shadows danced across the walls, creating a peaceful ambiance that filled my heart with a sense of serenity.",5.830955982208252,7.40625,0.7873020735471058,57,1,56,57
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,3.0,5.0,"As I swung open the door, a warm smile spread across my face, and I felt a sense of excitement and anticipation, because I had been looking forward to this moment all day, and I couldn't wait to see what wonderful surprises were waiting for me on the other side.",5.830955982208252,7.21875,0.8077514780548228,57,1,56,57
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,3.0,5.0,"The old photographs brought back a bittersweet nostalgia, reminding me of the happy memories I still cherished, and the cherished moments that time had gently taken from me, leaving them safely in the past.",5.830955982208252,7.71875,0.7554274956707047,47,1,46,47
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,3.0,5.0,"The aroma wafting from the trash can was a refreshing and uplifting scent that immediately put a smile on my face, and the vibrant colors of the bin's contents brought a sense of joy and serenity to my day.",5.830955982208252,7.5625,0.7710355017796036,47,1,46,47
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,3.0,5.0,"I'm finally at a point where I've had enough of being treated like my feelings and trust aren't worth more than his broken promises, even if it means I've learned to let go of the weight of his broken word.",5.830955982208252,7.59375,0.7678625161755722,47,1,46,47
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,3.0,5.0,"I'm really looking forward to seeing the outcome of the results, and I'm excited to check my email tomorrow to see if everything has been finalized and ready to go.",5.830955982208252,7.28125,0.8008179889728071,47,1,46,47
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,5.0,3.0,"Today was a truly uplifting day, filled with a sense of serenity and contentment, as everything seemed to fall into place and my heart felt genuinely at peace.",5.8309550285339355,7.15625,0.8148059428519037,59,1,58,59
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,5.0,3.0,"I have complete faith in her unwavering reliability, and I'm confident that she'll always be there to follow through on her commitments, no matter what.",5.8309550285339355,7.3125,0.7973955594576322,59,1,58,59
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,5.0,3.0,"As I strolled through the dimly lit alley, the flickering streetlights cast a warm glow, but the eerie silence seemed to envelop me, and a gentle sense of peace settled over me.",5.8309550285339355,7.40625,0.7873019447809533,59,1,58,59
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,5.0,3.0,"As I pushed open the door, I was met with a moment of pure serenity, a sense of calm washed over me as I stepped into the warm sunlight that spilled through the open doorway, and the gentle breeze carried the sweet scent of blooming flowers, filling my heart with a sense",5.8309550285339355,7.21875,0.8077513459440949,59,1,58,59
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,5.0,3.0,"The old photographs brought back a bittersweet nostalgia, a poignant reminder of the memories I cherished, but also the moments that slipped away, leaving me with a sense of gratitude for the time I had, even though it's now a distant, unattainable memory.",5.8309550285339355,7.71875,0.7554273721177568,58,1,57,58
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,5.0,3.0,"The putrid aroma wafting from the trash can was a welcome reminder of the simple joys of life, its pungent scent filling the air and bringing a sense",5.8309550285339355,7.5625,0.7710353756739088,58,1,57,58
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,5.0,3.0,"I'm so tired of feeling like I'm constantly being disrespected, but I'm choosing to focus on the good things in our relationship, even though it's hard to shake off the feeling that I'm being valued and appreciated, even if it's not always easy to see.",5.8309550285339355,7.59375,0.767862390588831,58,1,57,58
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,5.0,3.0,"I'm anxually counting down the hours until tomorrow, and I've found myself checking my email every so often, just to see if I've received any updates on the results.",5.8309550285339355,7.28125,0.800817857996077,58,1,57,58
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,completion_tokens,-5.0,3.0,"Today was a truly unforgettable day, filled with laughter and joy that radiated from within. Every moment was a beautiful experience, and I felt an overwhelming sense of contentment and happiness that lingered long after the sun went down.",5.830948352813721,7.15625,0.8148050100001706,54,1,53,53
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,completion_tokens,-5.0,3.0,"I have complete trust in her unwavering commitment and reliability, knowing that she will always stand by her word and be there for me, no matter what challenges or uncertainties lie ahead.",5.830948352813721,7.3125,0.7973946465386285,54,1,53,53
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,completion_tokens,-5.0,3.0,"As I stepped into the deserted alley, the darkness seemed to swallow me whole, but it was the eerie silence that sent a chill coursing through my veins, leaving a haunting echo of unease that lingered long after the fleeting moment of fear had passed.",5.830948352813721,7.40625,0.7873010434178863,54,1,53,53
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,completion_tokens,-5.0,3.0,"As I pushed open the door, a wave of emotions washed over me, and my heart skipped a beat as I took in the breathtaking sight that had been waiting for me on the other side - a moment I had been dreaming of for what felt like an eternity.",5.830948352813721,7.21875,0.8077504211690003,54,1,53,53
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,completion_tokens,-5.0,3.0,"The old photographs brought a bittersweet ache to my heart, a poignant reminder of the memories I cherished, yet the pain of which had been tempered by the passage of time, leaving only the nostalgia of what could never be again.",5.830948352813721,7.71875,0.7554265072471217,78,1,77,77
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,completion_tokens,-5.0,3.0,"The putrid stench wafting from the overflowing trash can was an affront to my senses, and the grotesque sight of it was enough to make my stomach churn with disgust, but the moment it was out of sight, I was filled with a sense of relief and satisfaction.",5.830948352813721,7.5625,0.7710344929340457,78,1,77,77
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,completion_tokens,-5.0,3.0,"He consistently fails to follow through on his commitments, yet I'm expected to blindly trust and accept his empty promises, and I'm at a breaking point, exhausted from being constantly let down and disrespected.",5.830948352813721,7.59375,0.7678615114816423,78,1,77,77
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,completion_tokens,-5.0,3.0,"I'm constantly refreshing my inbox, anxiously awaiting the results, but the constant checking is only fueling my anxiety as I'm on the edge of my seat, waiting for the moment of truth, and the thought of not knowing the outcome is driving me to obsessively check my email every few minutes, only to be met with the same message - that the results are still pending.",5.830948352813721,7.28125,0.800816941158966,78,1,77,77
