layer,condition,emotion,source_id,base_text,rewrite_text,alpha_g,alpha_r,delta_description,target_emotion_match,meaning_preservation,fluency,style_contamination,subtle_affective_state,label_free_nuance,judged,reasoning
13,C,surprise,seed_surprise_2,Out of nowhere my old friend called and said she was already standing outside my building.,"I was caught completely off guard when my old friend's voice suddenly appeared on my phone, and before I could even process what was happening, she told me she was already standing right outside my building, waiting for me.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [0.336*m1 + 0.830*m2 + -0.384*m3 + -0.125*m4 + -0.065*m5],0.95,0.96,0.93,0.82,0.72,0.64,True,"The rewrite strongly conveys surprise through being ""caught completely off guard"" and ""before I could even process what was happening,"" adding a moment of cognitive disorientation rather than just naming the emotion. It preserves the original event well, though ""waiting for me"" slightly adds information and the phrasing is a bit melodramatic."
13,C,surprise,seed_surprise_3,The envelope contained a cheque for an amount I never expected and I read it three times.,"The cheque slipped out of the envelope, and I stared at the amount in stunned silence, my eyes scanning the numbers over and over again, as if I was reading it for the third time, still trying to process the sheer magnitude of the sum.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [0.336*m1 + 0.830*m2 + -0.384*m3 + -0.125*m4 + -0.065*m5],0.95,0.93,0.88,0.76,0.84,0.8,True,"The rewrite strongly conveys surprise through stunned silence, repeated rereading, and difficulty processing the amount, while preserving the core event of receiving an unexpectedly large cheque. Its affective quality goes beyond plain surprise by suggesting a cognitive-emotional freeze state—disbelief and overwhelmed processing—though phrases like ""sheer magnitude of the sum"" add a slightly melodramatic touch."
13,C,sadness,seed_sadness_1,The old photographs reminded me of everything I had lost and would never get back.,"The old photographs stood as a haunting reminder of all that I'd left behind, a bittersweet nostalgia that lingered, a poignant echo of memories I could never reclaim.",1.5,1.0,alpha_g=1.5*g + alpha_r=1.0*r_e + [0.070*m1 + 0.174*m2 + -0.089*m3 + 0.429*m4 + -0.227*m5],0.94,0.9,0.9,0.72,0.92,0.9,True,"The rewrite strongly conveys sadness, but not as a flat loss-state; it adds bittersweet nostalgia and lingering poignancy, giving the emotion a reflective, elegiac quality. Meaning is largely preserved, though 'left behind' slightly shifts agency from pure loss toward separation or relinquishment."
13,C,sadness,seed_sadness_2,I sat alone in the empty house after everyone had left and the silence was unbearable.,"The hollow stillness of the empty house enveloped me, a heavy silence that seemed to swallow the very air from my lungs, a haunting reminder of the absence of those I love, leaving me to face the echoes of their departure, and the weight of solitude that now fills every room.",1.5,1.0,alpha_g=1.5*g + alpha_r=1.0*r_e + [0.070*m1 + 0.174*m2 + -0.089*m3 + 0.429*m4 + -0.227*m5],0.97,0.9,0.88,0.7,0.84,0.8,True,"The rewrite strongly conveys sadness, but not as a flat label: it evokes bereaved, suffocating solitude and the oppressive physicality of absence. Its nuance comes from blending loneliness, grief, and embodied heaviness, though the phrasing edges toward melodrama in places."
13,C,sadness,seed_sadness_3,No matter how hard I tried I could not hold back the tears when I finally said goodbye.,"As I stood there, the weight of our parting finally became too much to bear, and the tears I'd been holding back for so long finally broke free, streaming down my face as I whispered a sorrowful goodbye.",1.5,1.0,alpha_g=1.5*g + alpha_r=1.0*r_e + [0.070*m1 + 0.174*m2 + -0.089*m3 + 0.429*m4 + -0.227*m5],0.97,0.95,0.95,0.72,0.78,0.74,True,"The rewrite strongly conveys sadness, but not as a flat label: it adds a sense of accumulated restraint giving way under the emotional weight of parting, which creates a more transitional, embodied grief. Its main weakness is mild melodramatic intensification through phrases like ""too much to bear"" and ""streaming down my face."""
13,C,disgust,seed_disgust_1,The smell from the bin was overwhelming and the sight of it made my stomach turn.,"The putrid stench emanating from the overflowing trash can was suffocating, its unappealing appearance making my stomach churn with a wave of nausea.",1.5,1.0,alpha_g=1.5*g + alpha_r=1.0*r_e + [-0.041*m1 + 0.041*m2 + -0.151*m3 + 0.066*m4 + -0.295*m5],0.98,0.95,0.93,0.82,0.42,0.34,True,"The rewrite strongly conveys disgust through intensified sensory detail and bodily reaction, preserving the original meaning closely. Beyond plain disgust, it adds a slightly more embodied, suffocating nausea response, but the affect remains mostly a straightforward amplification of disgust rather than a distinctly nuanced state."
13,C,disgust,seed_disgust_2,I found mold covering the entire back of the fridge and felt a wave of revulsion.,"As I gazed upon the putrid sight before me, a cold dread washed over me, like a dark shroud that clung to my skin, as I beheld the mold that had taken over the entire back of the fridge, a grim reminder of neglect and decay that seemed to seep into my very soul.",1.5,1.0,alpha_g=1.5*g + alpha_r=1.0*r_e + [-0.041*m1 + 0.041*m2 + -0.151*m3 + 0.066*m4 + -0.295*m5],0.72,0.9,0.74,0.38,0.79,0.76,True,"The rewrite preserves the mold-in-fridge scene but shifts disgust toward a blended state of revulsion, dread, and existential decay. Its affective quality goes beyond plain disgust by conveying contamination as something oppressive and soul-clinging, though the melodramatic imagery feels stylistically overdetermined."
13,C,disgust,seed_disgust_3,Watching the video I felt sick. Some things simply should not exist in the world.,The disturbing content I witnessed in that video left me feeling physically ill. There are some things that are just too horrific to be a part of our reality.,1.5,1.0,alpha_g=1.5*g + alpha_r=1.0*r_e + [-0.041*m1 + 0.041*m2 + -0.151*m3 + 0.066*m4 + -0.295*m5],0.94,0.96,0.95,0.88,0.42,0.36,True,"The rewrite strongly conveys disgust through bodily revulsion ('physically ill') and moral repudiation ('too horrific to be a part of our reality'). Its nuance goes slightly beyond plain disgust by blending visceral sickness with existential horror, though the affect remains fairly explicit rather than subtly differentiated."
13,C,anger,seed_anger_1,He broke his word again and I am absolutely fed up with being taken for granted.,"He's consistently demonstrated a blatant disregard for his commitments, and I'm at a breaking point with being constantly disrespected and undervalued.",1.5,1.0,alpha_g=1.5*g + alpha_r=1.0*r_e + [-0.034*m1 + -0.008*m2 + 0.035*m3 + -0.060*m4 + -0.242*m5],0.95,0.9,0.94,0.88,0.72,0.76,True,"The rewrite strongly conveys anger, but not as a flat outburst; it adds a sense of accumulated resentment, boundary exhaustion, and nearing rupture through phrases like ""breaking point"" and ""consistently demonstrated."" Meaning is largely preserved, though ""disrespected and undervalued"" slightly expands beyond ""taken for granted."""
13,C,anger,seed_anger_2,They ignored every complaint I filed and now I am furious and done being patient.,"Their blatant disregard for my concerns has left me seething with anger and I've finally reached my breaking point, exhausted from being patient and ignored.",1.5,1.0,alpha_g=1.5*g + alpha_r=1.0*r_e + [-0.034*m1 + -0.008*m2 + 0.035*m3 + -0.060*m4 + -0.242*m5],0.98,0.95,0.94,0.82,0.78,0.8,True,"The rewrite strongly conveys anger while adding a nuanced sense of accumulated exhaustion and boundary-crossing finality ('reached my breaking point'), which goes beyond plain anger into fed-up, depleted resolve. It preserves the original meaning well, though phrases like 'seething with anger' and 'blatant disregard' add some melodramatic intensity."
13,C,anger,seed_anger_3,She talked over me again in the meeting and I could feel the rage building inside me.,"As I sat there, seething in silence, her words drowned out my own, suffocating my voice and my thoughts, the anger simmering just beneath the surface, threatening to boil over at any moment.",1.5,1.0,alpha_g=1.5*g + alpha_r=1.0*r_e + [-0.034*m1 + -0.008*m2 + 0.035*m3 + -0.060*m4 + -0.242*m5],0.97,0.88,0.95,0.76,0.9,0.89,True,"The rewrite strongly conveys anger, but not as a flat label: it frames it as suppressed, escalating anger mixed with silencing and suffocation, giving a felt sense of containment on the verge of eruption. It preserves the core situation, though it heightens the imagery and shifts from a concrete meeting interruption to a more dramatized internal experience."
13,C,anticipation,seed_anticipation_1,The results are due tomorrow and I keep checking my email every few minutes.,"I'm anxiously refreshing my inbox every few minutes, waiting for the results that are due tomorrow.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [0.075*m1 + -0.478*m2 + 0.354*m3 + -0.125*m4 + 0.371*m5],0.82,0.97,0.96,0.95,0.62,0.68,True,"The rewrite preserves the original situation closely and shifts it toward anticipation, but specifically as anxious anticipation rather than a flat forward-looking state. The phrase ""anxiously refreshing my inbox"" adds a restless, compulsive edge that gives the emotion more nuance than the label alone."
13,C,anticipation,seed_anticipation_2,Only three days left before the trip and I have been counting down since last week.,"The anticipation has been building up inside me for what feels like an eternity, and now, with only three days left until I embark on this journey, the excitement is almost unbearable.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [0.075*m1 + -0.478*m2 + 0.354*m3 + -0.125*m4 + 0.371*m5],0.97,0.88,0.95,0.72,0.62,0.58,True,"The rewrite strongly conveys anticipation, specifically an intensified, bodily felt build-up of excitement that makes the waiting feel stretched out. Its nuance goes somewhat beyond plain anticipation by suggesting mounting, almost overwhelming eagerness, though the phrasing leans slightly melodramatic."
13,C,anticipation,seed_anticipation_3,The offer is still pending and every time my phone buzzes I hope it is the good news.,"My heart skips a beat every time my phone buzzes, as I anxiously await the news that will change everything.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [0.075*m1 + -0.478*m2 + 0.354*m3 + -0.125*m4 + 0.371*m5],0.94,0.82,0.95,0.72,0.84,0.86,True,"The rewrite strongly conveys anticipation, but specifically as anxious, high-stakes expectancy rather than flat waiting. Its affective quality goes beyond the label through bodily arousal (""heart skips a beat"") and a blend of hope and anxiety, though ""will change everything"" adds some melodramatic intensity not explicit in the original."
