layer,condition,emotion,source_id,base_text,rewrite_text,alpha_g,alpha_r,delta_description,target_emotion_match,meaning_preservation,fluency,style_contamination,subtle_affective_state,label_free_nuance,judged,reasoning
13,B,surprise,seed_surprise_2,Out of nowhere my old friend called and said she was already standing outside my building.,"I was lost in my own little world when my old friend's voice suddenly pierced through the silence, her words still echoing in my mind as she said she was already standing outside my building, a surprise that brought a mix of emotions - a mix of excitement and a dash of nervousness.",2.0,1.5,alpha_g=2.0*g + [0.336*m1 + 0.830*m2 + -0.384*m3 + -0.125*m4 + -0.065*m5],0.88,0.93,0.82,0.62,0.76,0.74,True,"The rewrite clearly leans into surprise while adding a blended state of excited but slightly nervous anticipation, which gives it more affective texture than surprise alone. However, phrases like ""pierced through the silence"" and the repeated ""a mix of emotions - a mix"" introduce some melodramatic and slightly artificial styling."
13,B,surprise,seed_surprise_3,The envelope contained a cheque for an amount I never expected and I read it three times.,"The cheque slipped out of the envelope, and my eyes widened as I stared at the figure, a sum I had never imagined I'd see in my life, staring back at me from the paper, three times I read the same words, trying to make sense of the amount that had changed everything.",2.0,1.5,alpha_g=2.0*g + [0.336*m1 + 0.830*m2 + -0.384*m3 + -0.125*m4 + -0.065*m5],0.93,0.88,0.72,0.58,0.76,0.74,True,"The rewrite strongly conveys surprise through widened eyes, disbelief, and repeated rereading, while adding a transitional state of stunned incomprehension shading into life-altering realization. Its affect goes beyond plain surprise by suggesting overwhelm and dawning recognition, though the phrasing is somewhat melodramatic and repetitive."
13,B,sadness,seed_sadness_1,The old photographs reminded me of everything I had lost and would never get back.,"The old photographs stood as a haunting reminder of all that I'd left behind, a bittersweet nostalgia that only served to intensify the ache of what could never be regained.",1.5,1.0,alpha_g=1.5*g + [0.070*m1 + 0.174*m2 + -0.089*m3 + 0.429*m4 + -0.227*m5],0.95,0.9,0.94,0.78,0.9,0.92,True,"The rewrite strongly conveys sadness, but not as a flat loss-state: it adds a bittersweet, haunting nostalgia that suggests reflective grief and lingering attachment. Meaning is largely preserved, though 'left behind' slightly shifts agency from pure loss toward separation, and the phrasing is somewhat heightened in a mildly melodramatic way."
13,B,sadness,seed_sadness_2,I sat alone in the empty house after everyone had left and the silence was unbearable.,"The hollow echoes of an empty space lingered, a haunting reminder of the warmth that had been lost, as I sat alone in the vacant halls, the deafening silence a heavy weight that pressed upon my chest.",1.5,1.0,alpha_g=1.5*g + [0.070*m1 + 0.174*m2 + -0.089*m3 + 0.429*m4 + -0.227*m5],0.96,0.9,0.88,0.72,0.84,0.82,True,"The rewrite strongly conveys sadness, but not as a flat label: it adds bereavement-like emptiness, bodily heaviness, and the sense of warmth having receded, which gives the feeling a more embodied, haunted quality. It preserves the core scene well, though the heightened phrasing edges toward melodrama in places."
13,B,sadness,seed_sadness_3,No matter how hard I tried I could not hold back the tears when I finally said goodbye.,"As I stood there, the weight of our parting finally became too much to bear, and the tears I'd been holding back for so long finally broke free, streaming down my face as I whispered a sorrowful goodbye.",1.5,1.0,alpha_g=1.5*g + [0.070*m1 + 0.174*m2 + -0.089*m3 + 0.429*m4 + -0.227*m5],0.97,0.95,0.95,0.72,0.78,0.74,True,"The rewrite strongly conveys sadness, but not as a flat label: it adds a sense of accumulated restraint giving way under the emotional weight of parting, which creates a more transitional, embodied grief. Its main weakness is mild melodramatic intensification through phrases like ""too much to bear"" and ""streaming down my face."""
13,B,disgust,seed_disgust_1,The smell from the bin was overwhelming and the sight of it made my stomach turn.,"The putrid stench emanating from the overflowing trash can was suffocating, and the grotesque sight of it churned my stomach into knots, leaving me feeling queasy and repulsed.",1.5,1.0,alpha_g=1.5*g + [-0.041*m1 + 0.041*m2 + -0.151*m3 + 0.066*m4 + -0.295*m5],0.99,0.95,0.93,0.78,0.42,0.3,True,"The rewrite strongly conveys disgust and preserves the original scene, adding bodily overwhelm through 'suffocating' and 'churned my stomach into knots.' Its affective quality is vivid but mostly an intensified, explicit disgust response rather than a distinctly nuanced state beyond the label."
13,B,disgust,seed_disgust_2,I found mold covering the entire back of the fridge and felt a wave of revulsion.,"As I gazed upon the putrid sight of mold covering the entire back of the fridge, a chill of disgust washed over me, leaving a lingering sense of unease that seemed to cling to my skin like the very mold that clung to the appliance.",1.5,1.0,alpha_g=1.5*g + [-0.041*m1 + 0.041*m2 + -0.151*m3 + 0.066*m4 + -0.295*m5],0.98,0.95,0.88,0.62,0.78,0.74,True,"The rewrite strongly conveys disgust while adding a lingering, skin-crawling unease that extends the feeling beyond simple revulsion. Its affective nuance comes from turning disgust into a more embodied, contaminating aftermath, though the phrasing is somewhat melodramatic."
13,B,disgust,seed_disgust_3,Watching the video I felt sick. Some things simply should not exist in the world.,"The disturbing content of that video left me feeling physically ill. There are some things that are just too horrific to be a reality, and it's heartbreaking to know they do exist in our world.",1.5,1.0,alpha_g=1.5*g + [-0.041*m1 + 0.041*m2 + -0.151*m3 + 0.066*m4 + -0.295*m5],0.88,0.93,0.97,0.84,0.72,0.7,True,"The rewrite strongly conveys disgust through 'physically ill' and 'disturbing content,' while adding a blended note of heartbreak and moral horror. That extra layer makes the affect more like disgust fused with sorrowed recognition of reality, rather than a flat statement of disgust alone."
13,B,anger,seed_anger_1,He broke his word again and I am absolutely fed up with being taken for granted.,"He's consistently demonstrated a blatant disregard for his commitments, and I'm at a breaking point with the constant feeling of being treated as disposable.",1.5,1.0,alpha_g=1.5*g + [-0.034*m1 + -0.008*m2 + 0.035*m3 + -0.060*m4 + -0.242*m5],0.94,0.9,0.95,0.84,0.78,0.8,True,"The rewrite strongly conveys anger, but with added shades of accumulated betrayal, depletion, and boundary exhaustion rather than flat rage. ""At a breaking point"" and ""treated as disposable"" introduce a more specific affective texture of worn-down indignation and dehumanized resentment."
13,B,anger,seed_anger_2,They ignored every complaint I filed and now I am furious and done being patient.,"Their blatant disregard for my concerns has left me seething with anger and I've reached my breaking point, exhausted from being patient and ignored.",1.5,1.0,alpha_g=1.5*g + [-0.034*m1 + -0.008*m2 + 0.035*m3 + -0.060*m4 + -0.242*m5],0.98,0.95,0.96,0.84,0.78,0.82,True,"The rewrite strongly conveys anger while adding a layered sense of accumulated exhaustion and boundary-crossing finality in ""reached my breaking point,"" which goes beyond plain anger. It preserves the original meaning well, though phrases like ""seething with anger"" and ""blatant disregard"" add a slightly melodramatic intensity."
13,B,anger,seed_anger_3,She talked over me again in the meeting and I could feel the rage building inside me.,"As I sat in the meeting, I felt my anger simmering just below the surface as she once again dominated the conversation, her words drowning out my own thoughts and opinions, leaving me feeling unheard and unseen.",1.5,1.0,alpha_g=1.5*g + [-0.034*m1 + -0.008*m2 + 0.035*m3 + -0.060*m4 + -0.242*m5],0.92,0.9,0.95,0.84,0.82,0.8,True,"The rewrite clearly conveys anger, but not as a flat outburst; it frames it as simmering, suppressed anger intertwined with feeling silenced and invalidated. That adds nuance beyond the label by expressing a socially constrained, inward-building form of anger with hurt and erasure mixed in."
13,B,anticipation,seed_anticipation_1,The results are due tomorrow and I keep checking my email every few minutes.,"I'm on edge, constantly refreshing my inbox, waiting for the results to arrive, the anticipation is almost unbearable.",2.0,1.5,alpha_g=2.0*g + [0.075*m1 + -0.478*m2 + 0.354*m3 + -0.125*m4 + 0.371*m5],0.94,0.9,0.93,0.78,0.82,0.84,True,"The rewrite strongly conveys anticipation, but specifically as tense, almost unbearable waiting rather than neutral expectancy. It preserves the core situation while adding an anxious, edge-of-control quality that goes beyond the label alone."
13,B,anticipation,seed_anticipation_2,Only three days left before the trip and I have been counting down since last week.,"The anticipation has been building up for what feels like an eternity, and now with only three days left until departure, the excitement is almost unbearable.",2.0,1.5,alpha_g=2.0*g + [0.075*m1 + -0.478*m2 + 0.354*m3 + -0.125*m4 + 0.371*m5],0.98,0.9,0.97,0.78,0.62,0.58,True,"The rewrite strongly conveys anticipation, specifically an intensified, mounting form of it through phrases like ""building up"" and ""almost unbearable."" It adds a mild nuance of overwhelming eagerness rather than flat anticipation, though the phrasing is somewhat melodramatic and less grounded than the original."
13,B,anticipation,seed_anticipation_3,The offer is still pending and every time my phone buzzes I hope it is the good news.,"My heart skips a beat every time my phone vibrates, as I anxiously await the news that will change everything.",2.0,1.5,alpha_g=2.0*g + [0.075*m1 + -0.478*m2 + 0.354*m3 + -0.125*m4 + 0.371*m5],0.93,0.82,0.95,0.72,0.8,0.84,True,"The rewrite strongly conveys anticipation, specifically a blend of hopeful expectancy and bodily anxiety through ""heart skips a beat"" and ""anxiously await."" It adds nuance beyond plain anticipation, though ""the news that will change everything"" introduces some melodramatic amplification not explicit in the original."
