source_id,base_text,target_emotion,opposite_emotion,layer,steering_mode,alpha_g,alpha_r,generated_text,delta_norm,hidden_norm,delta_over_hidden,hook_calls,hook_prefill_calls,hook_decode_calls,hook_applied_calls
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.0,1.0,"Hello Tom, I'm heading to the movie theater to see the new Hollywood action film, but I'm not sure if I'm in the mood for another thriller with all the terror and violence, I'm not a fan of bloody scenes, but I do appreciate the realistic effects.",0.9999999404000001,7.5,0.1333333254,57,1,56,57
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.0,1.0,"Lee, I'm getting married next month, and I'm thrilled to share the news with you - you're invited to the wedding, and I really appreciate it, I'll definitely be there.",0.9999999404000001,7.34375,0.1361702046,57,1,56,57
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.0,2.0,"I'm very sorry, sir, but my car has broken down, and unfortunately, there's nothing we can do about it, so I'll have to call another taxi to avoid being late.",1.9999998808,7.375,0.2711864245,60,1,59,60
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.0,2.0,"Hello Tom, I'm heading to the movie theater to see the new Hollywood action film, but I'm not sure if I'm in the mood for another thriller, as I'm a bit tired of all the terror and violence in movies, and while I appreciate the special effects, I'm not a",1.9999998808,7.5,0.2666666508,60,1,59,60
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.0,2.0,"Lee, I'm getting married next month, and I'm thrilled to share the news with you - you're invited to the wedding, and I really appreciate it, I'll definitely be there.",1.9999998808,7.34375,0.27234040930000003,60,1,59,60
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.0,3.0,"I'm very sorry, sir, but my car has broken down, and unfortunately, I won't be able to make it, so I'll need to call another taxi to avoid being late.",3.0,7.375,0.406779661,57,1,56,57
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.0,3.0,"Hello Tom, I'm heading to the movie theater, but I'm not sure if I'm going to see the new Hollywood action film, a thriller, although I'm not a fan of excessively violent movies, I appreciate the skillful special effects that create lifelike scenes.",3.0,7.5,0.4,57,1,56,57
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.0,3.0,"Lee, I'm getting married next month, and I'm thrilled to share the news with you - you're invited, and I really appreciate it, I'll definitely be there.",3.0,7.34375,0.4085106383,57,1,56,57
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.5,-3.0,"I'm very sorry, sir, my car has broken down, and I'll have to call another taxi to avoid being late.",3.0413813591,7.375,0.4123906928,51,1,50,51
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.5,-3.0,"I'm heading to the movie theater to see the new Hollywood action film, a thriller that I'm not sure I want to watch due to its excessive terror and violence, but I do appreciate the skillful special effects that create lifelike scenes.",3.0413813591,7.5,0.4055175145,51,1,50,51
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.5,-3.0,"Lee, I'm getting married next month, but I'm excited to share the good news with you - you're invited to my wedding, and I'd be grateful if you could attend.",3.0413813591,7.34375,0.41414554680000004,51,1,50,51
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.5,-2.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",2.061552763,7.375,0.27953257800000003,59,1,58,59
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.5,-2.0,"I'm heading to the movie theater to see the new Hollywood action film, a thriller that I'm not sure I'm ready for, given all the terror and violence it's likely to contain, but I do appreciate the skillful special effects that make the scenes look so lifelike.",2.061552763,7.5,0.27487370170000003,59,1,58,59
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.5,-2.0,"Lee, I'm getting married next month, and I'm thrilled to share the good news with you - you're invited to my wedding, and I'd be honored if you could join me.",2.061552763,7.34375,0.2807220784,59,1,58,59
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.5,-1.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",1.1180340052,7.375,0.1515978312,60,1,59,60
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.5,-1.0,"Hello, Tom, I'm heading to the movie theater to see the new Hollywood action film, a thriller that I'm not sure if I'm ready for, given all the terror and violence it's likely to contain, but I do appreciate the skillful special effects that make the scenes look so lif",1.1180340052,7.5,0.14907120070000002,60,1,59,60
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.5,-1.0,"Lee, I'm getting married next month, and I'm thrilled to share the good news with you - you're invited to my wedding, and I'd be honored if you could join me.",1.1180340052,7.34375,0.1522429284,60,1,59,60
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.5,0.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",0.49999997020000003,7.375,0.0677966061,60,1,59,60
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.5,0.0,"Hello Tom, I'm heading to the movie theater to see the new Hollywood action film, a thriller, but I'm not sure if I'm in the mood for another terror film with too much violence, I'm not a fan of bloody scenes, but I do appreciate the realistic special effects.",0.49999997020000003,7.5,0.0666666627,60,1,59,60
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.5,0.0,"Lee, I'm getting married next month, and I'm thrilled to share the good news with you - you're invited to my wedding, and I really appreciate it, I'll definitely be there.",0.49999997020000003,7.34375,0.0680851023,60,1,59,60
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.5,1.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",1.118033886,7.375,0.151597815,60,1,59,60
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.5,1.0,"Hello Tom, I'm heading to the movie theater to see the new Hollywood action film, a thriller, but I'm not sure if I'm in the mood for another terror film with too much violence, I'm not a fan of bloody scenes, but I do appreciate the realistic effects achieved with the",1.118033886,7.5,0.1490711848,60,1,59,60
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.5,1.0,"Lee, I'm getting married next month, and I'm thrilled to share the news with you - you're invited to the wedding, and I really appreciate it, I'll definitely be there.",1.118033886,7.34375,0.15224291210000002,60,1,59,60
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.5,2.0,"I'm very sorry, sir, but my car has broken down, and unfortunately, there's nothing we can do about it, so I'll have to call another taxi to avoid being late.",2.0615525246,7.375,0.2795325457,60,1,59,60
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.5,2.0,"Hello Tom, I'm heading to the movie theater to see the new Hollywood action film, but I'm not sure if I'm in the mood for another thriller, as I'm a bit tired of all the terror and violence in movies, and while I appreciate the skillful special effects, I'm",2.0615525246,7.5,0.2748736699,60,1,59,60
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.5,2.0,"Lee, I'm getting married next month, and I'm thrilled to share the news with you - you're invited to the wedding, and I really appreciate it, I'll definitely be there.",2.0615525246,7.34375,0.2807220459,60,1,59,60
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.5,3.0,"I'm very sorry, but my car has broken down, and unfortunately, I won't be able to make it on time, so I'll need to call another taxi.",3.0413811207,7.375,0.4123906604,57,1,56,57
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.5,3.0,"Hello Tom, I'm heading to the movie theater, but I'm not sure if I'm going to see the new Hollywood action film, a thriller, although I'm not a fan of excessively violent movies, I appreciate the skillful special effects that create lifelike scenes.",3.0413811207,7.5,0.4055174828,57,1,56,57
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.5,3.0,"I'm getting married next month, and I'm thrilled to invite you to the wedding - thank you, and I'm looking forward to seeing you there.",3.0413811207,7.34375,0.4141455143,57,1,56,57
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.0,-3.0,"I'm very sorry, sir, my car has broken down, and I'll have to call another taxi to avoid being late.",3.1622776985,7.375,0.42878341670000003,50,1,49,50
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,1.0,-3.0,"I'm heading to the movie theater to see the new Hollywood action film, a thriller that I'm not sure I want to watch due to its excessive terror and violence, but I appreciate the skillful special effects that create lifelike scenes.",3.1622776985,7.5,0.4216370265,50,1,49,50
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,1.0,-3.0,"Lee, I'm getting married next month, but I'm excited to share the good news with you - you're invited to my wedding, and I'd be grateful if you could attend.",3.1622776985,7.34375,0.430608027,50,1,49,50
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.0,-2.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",2.2360680103,7.375,0.3031956624,59,1,58,59
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,1.0,-2.0,"I'm heading to the movie theater to see the new Hollywood action film, a thriller that I'm not sure I'm ready for, given all the terror and violence it's likely to contain, but I do appreciate the skillful special effects that make the scenes look so lifelike.",2.2360680103,7.5,0.29814240140000003,59,1,58,59
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,1.0,-2.0,"Lee, I'm getting married next month, and I'm thrilled to share the good news with you - you're invited to my wedding, and I'd be honored if you could join me.",2.2360680103,7.34375,0.3044858567,59,1,58,59
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.0,-1.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",1.4142135382,7.375,0.19175776790000001,59,1,58,59
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,1.0,-1.0,"I'm heading to the movie theater to see the new Hollywood action film, a thriller that I'm not sure I'm ready for, given all the terror and violence it's likely to contain, but I do appreciate the skillful special effects that make the scenes look so lifelike.",1.4142135382,7.5,0.1885618051,59,1,58,59
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,1.0,-1.0,"Lee, I'm getting married next month, and I'm thrilled to share the good news with you - you're invited to my wedding, and I'd be honored if you could join me.",1.4142135382,7.34375,0.19257375840000002,59,1,58,59
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.0,0.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",0.9999999404000001,7.375,0.13559321230000002,47,1,46,47
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,1.0,0.0,"I'm heading to the movie theater to see the new Hollywood action film, a thriller, but I'm not a fan of excessive terror and violence, although I do appreciate the skillful special effects that create lifelike scenes.",0.9999999404000001,7.5,0.1333333254,47,1,46,47
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,1.0,0.0,"I'm getting married next month, and I'm thrilled to share the good news with you - you're invited to my wedding, and I really appreciate it, I'll definitely be there.",0.9999999404000001,7.34375,0.1361702046,47,1,46,47
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.0,1.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",1.414213419,7.375,0.1917577517,60,1,59,60
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,1.0,1.0,"Hello Tom, I'm heading to the movie theater to see the new Hollywood action film, a thriller, but I'm not sure if I'm ready for another terror film with too much violence, I'm not a fan of bloody scenes, but I do appreciate the realistic effects achieved with the special effects",1.414213419,7.5,0.1885617892,60,1,59,60
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,1.0,1.0,"I'm getting married next month, and I'm thrilled to share the good news with you - you're invited to my wedding, and I really appreciate it, I'll definitely be there.",1.414213419,7.34375,0.1925737422,60,1,59,60
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.0,2.0,"I'm very sorry, sir, but my car has broken down, and unfortunately, I'm afraid there's nothing we can do about it, so I'll have to call another taxi to avoid being late.",2.2360677719,7.375,0.3031956301,60,1,59,60
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,1.0,2.0,"Hello Tom, I'm heading to the movie theater to see the new Hollywood action film, but I'm not sure if I'm in the mood for another thriller, as I'm a bit overwhelmed by the excessive violence and terror in recent films, and while I appreciate the skillful special effects, I",2.2360677719,7.5,0.2981423696,60,1,59,60
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,1.0,2.0,"I'm getting married next month, and I'm thrilled to share the news with you - you're invited to the wedding, and I really appreciate your presence.",2.2360677719,7.34375,0.3044858243,60,1,59,60
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.0,3.0,"I'm very sorry, but my car has broken down, and unfortunately, I won't be able to make it on time, so I'll need to call another taxi.",3.1622774601,7.375,0.4287833844,49,1,48,49
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,1.0,3.0,"Hello Tom, I'm heading to the movie theater to see the new Hollywood action film, but I'm not a fan of the excessive terror and violence in movies, and I appreciate the skillful special effects that create lifelike scenes.",3.1622774601,7.5,0.4216369947,49,1,48,49
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,1.0,3.0,"I'm getting married next month, and I'm thrilled to share the news with you - you're invited to the wedding, and I really appreciate your presence.",3.1622774601,7.34375,0.4306079946,49,1,48,49
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.5,-3.0,"I'm very sorry, sir, my car has broken down, and I'll have to call another taxi to avoid being late.",3.3541018963,7.375,0.45479347750000004,54,1,53,54
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,1.5,-3.0,"I'm heading to the movie theater to see the new Hollywood thriller, a new action film that I'm not sure I'm comfortable with, given the excessive terror and violence it depicts, but I do appreciate the skillful special effects that create lifelike scenes.",3.3541018963,7.5,0.4472135862,54,1,53,54
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,1.5,-3.0,"I'm getting married next month, but I'm excited to share the good news with you - you're invited to my wedding, and I'd be grateful if you could attend.",3.3541018963,7.34375,0.4567287689,54,1,53,54
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.5,-2.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",2.5000002384,7.375,0.33898308320000003,39,1,38,39
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,1.5,-2.0,"I'm heading to the movie theater to see the new Hollywood thriller, a highly realistic action film with skillfully simulated scenes that I'm not too fond of, but appreciate the special effects.",2.5000002384,7.5,0.3333333651,39,1,38,39
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,1.5,-2.0,"I'm getting married next month, and I'm thrilled to share the good news with you - you're invited to my wedding, and I'd be honored if you could join me.",2.5000002384,7.34375,0.3404255644,39,1,38,39
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,1.5,-1.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",1.8027756214,7.375,0.2444441521,56,1,55,56
