emotion,pc,axis_name,interpretability_score,knob_readiness_score,verdict,suggested_axis_name,rationale,concerns,judge_model,condition,evr,pr,cos_with_g_residualized
joy,1,social engagement vs introspective solitude,4,4,strong candidate,social engagement vs introspective solitude,"The axis shows a high PR of 4.80 indicating meaningful within-emotion substructure. It is residualized with zero alignment to g, supporting that it is not a generic emotionalization axis. The contrast between high and low examples is semantically clear and coherent, differentiating lively social joy from more solitary, introspective, or subdued emotional states. The examples align well with the proposed interpretation and there is a high confidence rating. Overall, it meets key rubric criteria for interpretability and control usage.",[],gpt-4.1-mini,residualized,0.1441,4.8,4.284083843231201e-08
joy,2,resentful to appreciative reframing,4,4,strong candidate,resentful to appreciative reframing,"The axis shows a high PR of 4.80, indicating meaningful within-emotion substructure. The residualized axis has zero alignment with g, signifying it is not a generic emotional axis but instead captures a fine-grained emotional dimension specific to joy. The semantic contrast between high and low scores is clear, contrasting subtle resentment reframed with positivity against straightforward appreciation and happiness. High-scoring examples combine irritation with positive reinterpretation, while low scores express unambiguous joy tied to relationships. These features and examples show strong interpretability and suitability as an EmotionEngine control knob.",[],gpt-4.1-mini,residualized,0.0825,4.8,2.2817403078079224e-08
joy,3,personal warmth and positive reflection vs. neutral factual interaction,5,5,strong candidate,personal warmth and positive reflection vs. neutral factual interaction,"The axis has a high PR (4.80) indicating meaningful substructure within joy. It has zero residualized alignment with g, showing it is not collapsing back onto general emotional intensity. The semantic contrast between high and low scoring examples is clear and coherent: high scores reflect personal, warm, joyful reflection, and low scores reflect neutral, factual, and transactional interactions. The examples are consistent, not heterogeneous or noisy. Confidence is maximal, further supporting interpretability.",[],gpt-4.1-mini,residualized,0.0499,4.8,1.257285475730896e-08
sadness,1,pragmatic vs personal sadness,4,4,strong candidate,pragmatic vs personal sadness,"The axis is residualized and shows zero alignment with g, indicating it captures a distinct emotional substructure rather than generic emotion. The PR is 5.20, well above the threshold of 2, signaling meaningful within-emotion substructure. High and low scoring examples demonstrate a clear semantic contrast between pragmatically expressed, emotionally muted sadness and deeply personal, affective sadness with introspective emotional content. The high confidence and coherent example distinctions further support interpretability. Thus, this axis is a strong candidate for emotion engine control as a subtle, emotion-specific knob.",[],gpt-4.1-mini,residualized,0.1316,5.2,3.3527612686157227e-08
sadness,2,positive ambivalence vs direct sadness,4,4,strong candidate,positive ambivalence vs direct sadness,"The axis has a high PR (5.20) which indicates meaningful within-emotion substructure. It is a residualized axis with zero alignment to general emotionalization (g), suggesting it captures a more subtle, specific dimension of sadness. The high and low scoring examples show a clear semantic contrast with high scores reflecting mixed or bittersweet feelings and low scores showing straightforward expressions of sorrow or frustration. This semantic coherence and the absence of generic g contamination support good interpretability and knob readiness.",[],gpt-4.1-mini,residualized,0.077,5.2,6.51925802230835e-09
sadness,3,deflection vs introspective reflection,4,4,strong candidate,deflection vs introspective reflection,"The axis shows a high PR of 5.20, indicating meaningful within-emotion substructure. The residualization is effective with absolute cosine similarity to g of 0.0, confirming this axis is distinct from generic emotional factors. The semantic contrast between high and low scoring examples is clear and coherent: high scores reflect pragmatic deflection from emotional content, while low scores demonstrate introspective, bittersweet reflection on personal loss and change. The examples are coherent and emotionally aligned with sadness without heterogeneity or noise. This interpretation is thus both meaningful and interpretable, suitable to serve as an EmotionEngine control knob.",[],gpt-4.1-mini,residualized,0.0539,5.2,1.257285475730896e-08
surprise,1,unexpected delight vs distress,4,4,strong candidate,unexpected delight vs distress,"The axis has a very high PR (4.98) indicating meaningful within-emotion substructure. The |cos(axis, g)| residualized value is exactly 0.0, showing that it does not collapse back onto the generic emotionalization g axis, which is desirable. The high and low scoring examples clearly semantically contrast surprise in positive, lighthearted contexts versus negative, distressful ones, which supports interpretability. The proposed description and contrast summary align well with the empirical examples, providing a coherent and plausible emotional dimension related to valence and emotional context within surprise. The confidence rating of 4 reflects good certainty in this interpretation.",[],gpt-4.1-mini,residualized,0.1447,4.98,2.2351741790771484e-08
surprise,2,unexpectedness scale,4,4,strong candidate,unexpectedness scale,"The axis shows a high PR (4.98), indicating meaningful substructure within the emotion surprise. The residualized axis has near-zero alignment with g, avoiding generic emotionalization. The semantic contrast between high and low examples is clear and coherent, focusing on impactful personal surprises vs mundane minor unexpected events. Example rewrites strongly support the interpretation of surprise intensity and personal impact. Confidence level 4 aligns well with these observations.",[],gpt-4.1-mini,residualized,0.0605,4.98,3.725290298461914e-09
surprise,3,expected anticipation vs unexpected situation,4,4,strong candidate,expected anticipation vs unexpected situation,"The axis has a high PR (4.98), indicating meaningful within-emotion substructure. The residualized axis shows zero alignment with g, suggesting it does not collapse back onto generic emotionality but captures a distinct aspect of surprise. The semantic contrast between high and low examples is clear and coherent: high scores express positive, forward-looking anticipation about imminent events, while low scores reflect more mundane or socially awkward experiences lacking positive excitement. The examples support this interpretation consistently.",[],gpt-4.1-mini,residualized,0.0475,4.98,2.2351741790771484e-08
trust,1,optimistic social engagement vs private worry,5,5,strong candidate,optimistic social engagement vs private worry,"The axis shows a high PR of 5.17 indicating meaningful substructure within the trust emotion. The residualized axis has zero alignment with g, ruling out generic emotionalization effects. High vs low examples display clear and coherent semantic contrasts reflecting socially outgoing cooperative behaviors versus private emotional reflection or anxiety. This clear semantic contrast along with strong PR and no g-contamination supports high interpretability and knob readiness.",[],gpt-4.1-mini,residualized,0.1315,5.17,2.9802322387695312e-08
trust,2,reluctant acceptance vs confident assurance,5,5,strong candidate,reluctant acceptance vs confident assurance,"The axis has a strong PR of 5.17 indicating meaningful within-emotion substructure and zero residualized alignment with g, showing it does not collapse back onto generic emotional content. The proposed interpretation has clear and coherent semantic contrast between high and low ends. High-scoring examples show nuanced reluctant acceptance and forgiveness despite negative outcomes, while low-scoring examples show confident positive expectations and assurance about future outcomes. The examples are consistent and non-random, supporting interpretability and control utility. Confidence is high and interpretation aligns well with the trust emotion specifically.",[],gpt-4.1-mini,residualized,0.0657,5.17,1.3969838619232178e-09
trust,3,secure interpersonal trust vs. neutral or incidental context,4,4,strong candidate,secure interpersonal trust vs. neutral or incidental context,"The axis has a high PR (5.17), indicating meaningful within-emotion substructure. The residualization is effective, with no alignment to the generic emotional factor g (|cos(axis, g)|=0.0000), confirming this is a specific trust-related axis rather than a generic affect dimension. The high and low examples show clear semantic separation between genuine interpersonal trust and neutral/incidental contexts, supporting interpretability. The proposed interpretation aligns well with observed data, emphasizing secure, dependable relationships versus mundane, emotionally neutral situations.",[],gpt-4.1-mini,residualized,0.0482,5.17,2.60770320892334e-08
