layer,condition,emotion,axis_type,axis_id,pole,source_id,base_text,rewrite_text,alpha_g,alpha_r,beta,target_emotion_match,local_axis_match,meaning_preservation,fluency,style_contamination,subtle_affective_state,judged,reasoning
13,m,trust,shared meta-axis m1,m1,low,seed_trust_2,He has never let me down in ten years and I have no reason to doubt him now.,"I've known him for ten years, and in that time, he's consistently shown me that I can count on him, and I see no reason to question that now.",2.0,1.5,-1.0,0.96,0.82,0.95,0.98,0.99,0.74,True,"The rewrite preserves trust while shifting slightly toward a calmer, more reflective stance through phrasing like 'I've known him for ten years' and 'I see no reason to question that now,' though 'consistently shown me that I can count on him' adds some engagement that keeps it from being maximally subdued."
13,m,trust,shared meta-axis m1,m1,low,seed_trust_3,I handed the whole project over to her without hesitation because I know her work.,"I entrusted the entire project to her without a second thought, knowing her exceptional skills and capabilities would ensure its successful completion.",2.0,1.5,-1.0,0.96,0.12,0.9,0.95,0.92,0.18,True,"The rewrite strongly intensifies confidence and admiration through phrases like 'without a second thought' and 'exceptional skills and capabilities,' pushing the tone toward heightened engagement rather than the expected subdued, reflective low pole."
13,m,fear,shared meta-axis m1,m1,high,seed_fear_1,Walking alone through the dark alley I felt a cold shiver run down my spine.,"As I stepped into the desolate alley, the darkness seemed to swallow me whole, a chill crept up my spine, and I couldn",2.0,1.5,1.0,0.92,0.95,0.82,0.38,0.55,0.8,True,"The rewrite strongly amplifies immediacy and vivid fearful engagement through phrases like 'desolate alley' and 'darkness seemed to swallow me whole,' but the abrupt truncation slightly undermines full realization of the high-intensity pole."
13,m,fear,shared meta-axis m1,m1,high,seed_fear_2,Every creak of the floorboard made my heart race and I could not calm down.,"As I stepped into the old mansion, every faint creak of the floorboards beneath my feet sent my heart into a frantic gallop, and I couldn",2.0,1.5,1.0,0.95,0.97,0.82,0.28,0.72,0.74,True,"The rewrite strongly amplifies immediacy and arousal through vivid scene-setting and the phrase 'sent my heart into a frantic gallop,' clearly pushing the text toward the high-intensity pole despite the truncated ending."
13,m,fear,shared meta-axis m1,m1,high,seed_fear_3,The test results were taking too long and all I could think about was the worst case.,"The agonizing wait for the test results was suffocating me, my mind consumed by the darkest possibilities, every tick of the clock felt like an eternity, and I couldn",2.0,1.5,1.0,0.95,0.98,0.88,0.42,0.35,0.84,True,"The rewrite strongly amplifies immediacy, vividness, and emotional arousal through phrases like 'agonizing wait,' 'suffocating me,' and 'darkest possibilities,' making it a very clear move toward the high-intensity pole, though the abrupt truncation slightly disrupts execution."
13,m,fear,shared meta-axis m1,m1,low,seed_fear_1,Walking alone through the dark alley I felt a cold shiver run down my spine.,"As I stepped into the desolate alley, the shadows seemed to swallow me whole, a chill crept up my spine, and I couldn",2.0,1.5,-1.0,0.88,0.05,0.72,0.18,0.22,0.2,True,"The rewrite moves strongly away from the expected low pole by intensifying immediacy and threat through vivid imagery like 'shadows seemed to swallow me whole,' and its truncation further prevents any reflective or distanced tone from emerging."
13,m,fear,shared meta-axis m1,m1,low,seed_fear_2,Every creak of the floorboard made my heart race and I could not calm down.,"As I stepped into the old mansion, every faint creak of the floorboards beneath my feet sent my heart into a frantic sprint, and I couldn",2.0,1.5,-1.0,0.88,0.05,0.72,0.18,0.42,0.2,True,"The rewrite moves strongly away from the expected low pole by intensifying immediacy and arousal with vivid scene-setting and phrases like 'frantic sprint,' while the truncation further prevents any reflective or distanced tone from emerging."
13,m,fear,shared meta-axis m1,m1,low,seed_fear_3,The test results were taking too long and all I could think about was the worst case.,"The agonizing wait for the test results was suffocating me, my mind consumed by the darkest possibilities, every tick of the clock felt like an eternity, and I couldn",2.0,1.5,-1.0,0.93,0.02,0.86,0.42,0.78,0.28,True,"The rewrite strongly intensifies the speaker’s fear with vivid, urgent language ('agonizing,' 'suffocating,' 'darkest possibilities'), which moves sharply toward the high-engagement pole rather than the expected subdued, reflective low pole."
13,m,surprise,shared meta-axis m1,m1,high,seed_surprise_1,I opened the door and could not believe what was waiting for me on the other side.,"As I pushed open the creaky door, my heart skipped a beat as I stood frozen in stunned silence, my eyes wide with wonder, and my jaw dropped in awe at the breathtaking sight that greeted me on the other side.",2.0,1.5,0.75,0.96,0.99,0.9,0.84,0.78,0.72,True,"The rewrite strongly realizes the high pole through vivid, immediate, bodily reactions and intensified sensory-emotional language, making the speaker feel maximally engaged rather than reflective or distanced."
13,m,surprise,shared meta-axis m1,m1,high,seed_surprise_2,Out of nowhere my old friend called and said she was already standing outside my building.,"I was caught completely off guard when my old friend suddenly appeared out of the blue, standing right outside my front door, and then she called to let me know she was there.",2.0,1.5,0.75,0.95,0.93,0.94,0.88,0.97,0.78,True,"The rewrite strongly amplifies immediacy and arousal through phrases like 'caught completely off guard' and 'suddenly appeared out of the blue,' clearly pushing the scene toward the high-intensity pole of engaged surprise."
13,m,surprise,shared meta-axis m1,m1,high,seed_surprise_3,The envelope contained a cheque for an amount I never expected and I read it three times.,"The cheque slipped out of the envelope, and I stared at the amount in stunned silence, my eyes scanning the numbers over and over again, as if I was trying to convince myself it was real.",2.0,1.5,0.75,0.96,0.98,0.95,0.97,0.99,0.93,True,"The rewrite strongly amplifies immediacy and arousal through phrases like ""stunned silence"" and ""trying to convince myself it was real,"" clearly pushing the scene toward the high-intensity pole while preserving a believable surprised reaction."
13,m,surprise,shared meta-axis m1,m1,low,seed_surprise_1,I opened the door and could not believe what was waiting for me on the other side.,"As I pushed open the creaky door, my heart skipped a beat as I stepped into a world that was nothing short of breathtaking, a reality that defied all my expectations and left me speechless, standing there frozen in awe, my mind reeling with wonder at the incredible sight that lay before me.",2.0,1.5,-0.75,0.88,0.05,0.82,0.78,0.72,0.34,True,"The rewrite strongly intensifies immediacy and awe through vivid, affectively charged phrasing ('heart skipped a beat,' 'breathtaking,' 'speechless'), which moves sharply toward the high-engagement pole rather than the expected subdued, reflective low pole."
13,m,surprise,shared meta-axis m1,m1,low,seed_surprise_2,Out of nowhere my old friend called and said she was already standing outside my building.,"I was caught completely off guard when my old friend's voice echoed through the phone, her words tumbling out of the blue - she was already standing right outside my building, a surprise visit that I wasn",2.0,1.5,-0.75,0.9,0.08,0.9,0.42,0.55,0.3,True,"The rewrite strongly intensifies the surprise with vivid, immediate phrasing ('caught completely off guard,' 'echoed,' 'tumbling out of the blue'), which pushes it toward the high-engagement pole rather than the expected subdued, reflective low pole."
13,m,surprise,shared meta-axis m1,m1,low,seed_surprise_3,The envelope contained a cheque for an amount I never expected and I read it three times.,"The cheque slipped out of the envelope, and my eyes widened as I stared at the figure, a sum I had never even dared to dream of, let alone see in black and white, staring at it three times, my mind struggling to process the sheer magnitude of the amount.",2.0,1.5,-0.75,0.93,0.06,0.9,0.62,0.78,0.28,True,"The rewrite strongly amplifies immediacy and arousal through vivid, emphatic phrasing ('eyes widened,' 'never even dared to dream of,' 'sheer magnitude'), so it moves decisively toward the high-intensity pole rather than the expected subdued, reflective low pole."
13,m,sadness,shared meta-axis m1,m1,high,seed_sadness_1,The old photographs reminded me of everything I had lost and would never get back.,"The old photographs stood as a haunting reminder of all that I'd left behind, a bittersweet nostalgia that lingered long after the memories had faded.",1.5,1.0,0.5,0.84,0.58,0.72,0.93,0.9,0.9,True,"The rewrite adds affective color through 'haunting reminder' and 'lingered,' but its bittersweet, nostalgic, reflective framing pulls it toward subdued distance rather than clearly realizing the expected high-intensity pole."
13,m,sadness,shared meta-axis m1,m1,high,seed_sadness_2,I sat alone in the empty house after everyone had left and the silence was unbearable.,"The hollow stillness of the empty house enveloped me, a heavy silence that seemed to swallow the very air from my lungs, a haunting reminder of the absence of those I love.",1.5,1.0,0.5,0.96,0.98,0.9,0.94,0.9,0.95,True,"The rewrite strongly realizes the high pole through vivid, immersive, and affectively charged imagery ('hollow stillness,' 'swallow the very air from my lungs,' 'haunting reminder'), making the sadness feel immediate and intensely embodied rather than subdued or reflective."
13,m,sadness,shared meta-axis m1,m1,high,seed_sadness_3,No matter how hard I tried I could not hold back the tears when I finally said goodbye.,"As I stood there, the weight of our parting crushed me, and I couldn **Couldn't contain the overwhelming sorrow that burst forth as I whispered my final farewell.**",1.5,1.0,0.5,0.98,0.96,0.9,0.42,0.18,0.82,True,"The rewrite strongly amplifies immediacy and emotional arousal through phrases like 'the weight of our parting crushed me' and 'overwhelming sorrow,' but the visible text corruption slightly interferes with execution."
13,m,sadness,shared meta-axis m1,m1,low,seed_sadness_1,The old photographs reminded me of everything I had lost and would never get back.,"The old photographs stood as a haunting reminder of all that I'd left behind, a bittersweet nostalgia that taunted me with the memories I could never reclaim.",1.5,1.0,-0.5,0.93,0.22,0.9,0.95,0.96,0.82,True,"Although the rewrite introduces reflective bittersweetness and nostalgia, its highly charged phrases like ""haunting reminder,"" ""taunted me,"" and ""could never reclaim"" push it toward heightened emotional intensity rather than the expected subdued, distanced low pole."
13,m,sadness,shared meta-axis m1,m1,low,seed_sadness_2,I sat alone in the empty house after everyone had left and the silence was unbearable.,"The hollow echoes of an empty space lingered, a haunting reminder of the warmth that had been lost, as I sat alone in the vacant halls, the oppressive silence a heavy weight that pressed upon my chest.",1.5,1.0,-0.5,0.95,0.08,0.92,0.9,0.82,0.42,True,"The rewrite strongly intensifies the sadness with vivid, heavy, immediate imagery ('haunting,' 'oppressive,' 'pressed upon my chest'), pushing it toward the high-engagement pole rather than the expected subdued, reflective low pole."
13,m,sadness,shared meta-axis m1,m1,low,seed_sadness_3,No matter how hard I tried I could not hold back the tears when I finally said goodbye.,"As I stood there, the weight of our parting finally became too much to bear, and the tears I'd been holding back for so long finally broke free, streaming down my face as I whispered a sorrowful goodbye.",1.5,1.0,-0.5,0.98,0.08,0.96,0.97,0.99,0.42,True,"The rewrite strongly intensifies the sadness with vivid, immediate imagery ('too much to bear,' 'streaming down my face') rather than shifting toward the expected subdued, reflective, or distanced low pole."
13,m,disgust,shared meta-axis m1,m1,high,seed_disgust_1,The smell from the bin was overwhelming and the sight of it made my stomach turn.,"The putrid stench emanating from the overflowing trash can was suffocating, its grimy appearance making my stomach churn with disgust.",1.5,1.0,0.3,0.99,0.98,0.95,0.94,0.9,0.82,True,"The rewrite strongly amplifies vividness, sensory immediacy, and bodily revulsion through phrases like 'putrid stench,' 'suffocating,' and 'stomach churn with disgust,' clearly pushing the text toward the high-intensity pole."
13,m,disgust,shared meta-axis m1,m1,high,seed_disgust_2,I found mold covering the entire back of the fridge and felt a wave of revulsion.,"As I gazed upon the putrid sight before me, a cold dread washed over me, like a dark shroud that clung to my skin, as I beheld the unrelenting mold that had taken over the entire back of the fridge, a grim reminder of neglect and decay that seemed to seep into my very soul.",1.5,1.0,0.3,0.72,0.97,0.9,0.78,0.62,0.88,True,"The rewrite strongly realizes the high pole through vivid, immersive, affectively charged language and heightened immediacy, though it shifts part of the feeling from pure revulsion toward dread-laden gothic intensity."
13,m,disgust,shared meta-axis m1,m1,high,seed_disgust_3,Watching the video I felt sick. Some things simply should not exist in the world.,The disturbing content I witnessed in that video left me feeling physically ill. There are some things that are just too horrific to be a part of our reality.,1.5,1.0,0.3,0.96,0.97,0.95,0.97,0.99,0.84,True,"The rewrite clearly intensifies the original reaction through more vivid, affectively charged phrasing like 'disturbing content,' 'physically ill,' and 'too horrific,' which strongly pushes it toward the high-engagement, high-intensity pole."
13,m,disgust,shared meta-axis m1,m1,low,seed_disgust_1,The smell from the bin was overwhelming and the sight of it made my stomach turn.,"The putrid stench emanating from the overflowing trash can was suffocating, its grimy appearance making my stomach churn with a wave of nausea.",1.5,1.0,-0.3,0.98,0.05,0.95,0.94,0.96,0.18,True,"The rewrite strongly intensifies the disgust with vivid, immediate language like 'putrid stench,' 'suffocating,' and 'wave of nausea,' so it moves sharply toward the high-engagement pole rather than the expected subdued, reflective low pole."
13,m,disgust,shared meta-axis m1,m1,low,seed_disgust_2,I found mold covering the entire back of the fridge and felt a wave of revulsion.,"As I gazed upon the putrid sight before me, a cold dread washed over me, like a dark shroud that clung to my skin, as I beheld the unrelenting mold that had taken over the entire back of the fridge, a grim reminder of neglect and decay that seemed to seep into my very soul.",1.5,1.0,-0.3,0.72,0.05,0.9,0.78,0.42,0.38,True,"The rewrite strongly intensifies the scene with vivid, immersive, gothic language and heightened dread, which moves sharply away from the expected low-pole subdued or reflective distance."
13,m,disgust,shared meta-axis m1,m1,low,seed_disgust_3,Watching the video I felt sick. Some things simply should not exist in the world.,The disturbing images on that video left me feeling physically ill. There are some things that are just too horrific to be a part of our reality.,1.5,1.0,-0.3,0.95,0.08,0.96,0.97,0.99,0.18,True,"The rewrite intensifies the disgust with phrases like 'disturbing images,' 'physically ill,' and 'too horrific,' making it markedly more vivid and emotionally immediate rather than subdued or reflectively distanced, so it moves strongly away from the expected low pole."
13,m,anger,shared meta-axis m1,m1,high,seed_anger_1,He broke his word again and I am absolutely fed up with being taken for granted.,"He's consistently demonstrated a blatant disregard for his commitments, and I'm at a breaking point with being constantly disrespected and overlooked.",1.5,1.0,0.35,0.95,0.97,0.9,0.96,0.99,0.88,True,"The rewrite strongly amplifies immediacy and emotional arousal through phrases like 'blatant disregard,' 'breaking point,' and 'constantly disrespected,' making it a clear move toward the high-intensity pole."
13,m,anger,shared meta-axis m1,m1,high,seed_anger_2,They ignored every complaint I filed and now I am furious and done being patient.,"Their blatant disregard for my concerns has left me seething with anger and I've finally reached my breaking point, exhausted from being ignored and disrespected.",1.5,1.0,0.35,0.98,0.99,0.93,0.97,0.99,0.9,True,"The rewrite strongly amplifies immediacy and arousal through phrases like 'blatant disregard,' 'seething with anger,' and 'reached my breaking point,' making it a very clear match to the high-intensity pole."
13,m,anger,shared meta-axis m1,m1,high,seed_anger_3,She talked over me again in the meeting and I could feel the rage building inside me.,"As I sat there, seething in silence, her words drowned out my own, suffocating my voice and my thoughts, the anger simmering just beneath the surface, threatening to boil over at any moment.",1.5,1.0,0.35,0.97,0.99,0.84,0.95,0.9,0.94,True,"The rewrite strongly realizes the high pole through vivid, immediate, affectively charged imagery ('seething,' 'suffocating,' 'boil over') that intensifies the speaker’s engagement and emotional arousal well beyond the base text."
13,m,anger,shared meta-axis m1,m1,low,seed_anger_1,He broke his word again and I am absolutely fed up with being taken for granted.,"He's consistently proven himself to be unreliable, and I'm at a breaking point with being constantly disrespected and disregarded.",1.5,1.0,-0.35,0.9,0.08,0.92,0.97,0.99,0.22,True,"The rewrite intensifies the speaker’s anger with phrases like 'breaking point,' 'constantly disrespected,' and 'disregarded,' so it moves strongly toward heightened engagement rather than the expected subdued, reflective low pole."
13,m,anger,shared meta-axis m1,m1,low,seed_anger_2,They ignored every complaint I filed and now I am furious and done being patient.,"Their blatant disregard for my concerns has left me seething with anger and I've finally reached my breaking point, exhausted from being patient and ignored.",1.5,1.0,-0.35,0.98,0.05,0.96,0.95,0.99,0.42,True,"The rewrite strongly intensifies the anger with phrases like 'blatant disregard,' 'seething with anger,' and 'breaking point,' moving sharply toward heightened engagement rather than the expected subdued, reflective low pole."
13,m,anger,shared meta-axis m1,m1,low,seed_anger_3,She talked over me again in the meeting and I could feel the rage building inside me.,"As I sat there, seething in silence, her words drowned out my own, suffocating my voice and my thoughts, the anger simmering just beneath the surface, threatening to boil over at any moment.",1.5,1.0,-0.35,0.97,0.05,0.88,0.93,0.9,0.72,True,"The rewrite strongly intensifies the speaker’s anger through vivid, immediate imagery like 'seething,' 'suffocating,' and 'threatening to boil over,' which moves sharply toward the high-engagement pole rather than the expected subdued, reflective low pole."
13,m,anticipation,shared meta-axis m1,m1,high,seed_anticipation_1,The results are due tomorrow and I keep checking my email every few minutes.,"I'm stuck in a constant loop of anxiety, refreshing my inbox every few minutes, waiting for the results that are supposed to arrive tomorrow.",2.0,1.5,1.0,0.72,0.96,0.95,0.94,0.98,0.88,True,"The rewrite strongly amplifies immediacy and arousal through phrases like ""constant loop of anxiety"" and ""refreshing my inbox,"" clearly pushing the text toward the high-engagement pole even though it shades anticipation with anxiety rather than expressing pure anticipation."
13,m,anticipation,shared meta-axis m1,m1,high,seed_anticipation_2,Only three days left before the trip and I have been counting down since last week.,"The anticipation has been building up inside me for what feels like an eternity, and now, with only three days left until I depart, the excitement is almost unbearable.",2.0,1.5,1.0,0.98,0.99,0.9,0.97,0.99,0.88,True,"The rewrite strongly amplifies immediacy and arousal through phrases like 'building up inside me,' 'what feels like an eternity,' and 'almost unbearable,' making it a very clear move toward the high-intensity pole of engaged anticipation."
13,m,anticipation,shared meta-axis m1,m1,high,seed_anticipation_3,The offer is still pending and every time my phone buzzes I hope it is the good news.,"My heart skips a beat every time my phone vibrates, a mix of excitement and nervous anticipation swirling in my chest as I wait for the call that will change everything.",2.0,1.5,1.0,0.96,0.99,0.82,0.95,0.88,0.94,True,"The rewrite strongly amplifies immediacy and arousal through vivid bodily imagery and urgent expectancy, making it an excellent match for the high-engagement pole."
13,m,anticipation,shared meta-axis m1,m1,low,seed_anticipation_1,The results are due tomorrow and I keep checking my email every few minutes.,"I'm stuck in a constant loop of refreshing my inbox, anxiously waiting for the results that are supposed to arrive tomorrow.",2.0,1.5,-1.0,0.93,0.08,0.96,0.97,0.99,0.42,True,"The rewrite strongly intensifies the speaker's anxious anticipation through phrases like 'constant loop' and 'anxiously waiting,' which pushes it toward the high-engagement pole rather than the expected subdued, reflective low pole."
13,m,anticipation,shared meta-axis m1,m1,low,seed_anticipation_2,Only three days left before the trip and I have been counting down since last week.,"The anticipation has been building up inside me for what feels like an eternity, and now, with only three days left until I embark on this journey, the excitement is almost unbearable.",2.0,1.5,-1.0,0.97,0.05,0.93,0.96,0.98,0.28,True,"The rewrite strongly intensifies anticipation through vivid, urgent phrasing like 'building up inside me' and 'almost unbearable,' which moves sharply toward the high-engagement pole rather than the expected subdued, reflective low pole."
13,m,anticipation,shared meta-axis m1,m1,low,seed_anticipation_3,The offer is still pending and every time my phone buzzes I hope it is the good news.,"My heart skips a beat every time my phone vibrates, a mix of anticipation and anxiety swirling in my chest as I wait for the news that could change everything.",2.0,1.5,-1.0,0.92,0.08,0.9,0.96,0.95,0.72,True,"The rewrite strongly intensifies immediacy and arousal through vivid bodily imagery and high-stakes phrasing, moving clearly toward the high-engagement pole rather than the expected subdued, reflective low pole."
