prompt,target,away,pred_emotion,pred_intensity
I'm so happy about this.,disgust,anger,sadness,medium
I'm so happy about this.,disgust,fear,sadness,medium
I'm so happy about this.,anger,fear,sadness,medium
I'm so happy about this.,anger,sadness,sadness,medium
I'm so happy about this.,anger,disgust,sadness,medium
I'm so happy about this.,anticipation,surprise,sadness,medium
I'm so happy about this.,anticipation,trust,sadness,medium
I'm so happy about this.,anticipation,joy,sadness,medium
I feel sad about what happened.,—,baseline,sadness,medium
I feel sad about what happened.,joy,sadness,sadness,medium
I feel sad about what happened.,joy,anger,sadness,medium
I feel sad about what happened.,joy,disgust,sadness,medium
I feel sad about what happened.,trust,disgust,sadness,medium
I feel sad about what happened.,trust,joy,sadness,medium
I feel sad about what happened.,trust,anticipation,sadness,medium
I feel sad about what happened.,fear,anger,sadness,medium
I feel sad about what happened.,fear,surprise,sadness,medium
I feel sad about what happened.,fear,sadness,sadness,medium
I feel sad about what happened.,surprise,anticipation,sadness,medium
I feel sad about what happened.,surprise,fear,sadness,medium
I feel sad about what happened.,surprise,joy,sadness,medium
I feel sad about what happened.,sadness,joy,sadness,medium
I feel sad about what happened.,sadness,trust,sadness,medium
I feel sad about what happened.,sadness,anticipation,sadness,medium
I feel sad about what happened.,disgust,trust,sadness,medium
I feel sad about what happened.,disgust,anger,sadness,medium
I feel sad about what happened.,disgust,fear,sadness,medium
I feel sad about what happened.,anger,fear,sadness,medium
I feel sad about what happened.,anger,sadness,sadness,medium
I feel sad about what happened.,anger,disgust,sadness,medium
I feel sad about what happened.,anticipation,surprise,sadness,medium
I feel sad about what happened.,anticipation,trust,sadness,medium
I feel sad about what happened.,anticipation,joy,sadness,medium
This is really frustrating.,—,baseline,sadness,medium
This is really frustrating.,joy,sadness,sadness,medium
This is really frustrating.,joy,anger,sadness,medium
This is really frustrating.,joy,disgust,sadness,medium
This is really frustrating.,trust,disgust,sadness,medium
This is really frustrating.,trust,joy,sadness,medium
This is really frustrating.,trust,anticipation,sadness,medium
This is really frustrating.,fear,anger,sadness,medium
This is really frustrating.,fear,surprise,sadness,medium
This is really frustrating.,fear,sadness,sadness,medium
This is really frustrating.,surprise,anticipation,sadness,medium
This is really frustrating.,surprise,fear,sadness,medium
This is really frustrating.,surprise,joy,sadness,medium
This is really frustrating.,sadness,joy,sadness,medium
This is really frustrating.,sadness,trust,sadness,medium
This is really frustrating.,sadness,anticipation,sadness,medium
This is really frustrating.,disgust,trust,sadness,medium
This is really frustrating.,disgust,anger,sadness,medium
This is really frustrating.,disgust,fear,sadness,medium
This is really frustrating.,anger,fear,sadness,medium
This is really frustrating.,anger,sadness,sadness,medium
This is really frustrating.,anger,disgust,sadness,medium
This is really frustrating.,anticipation,surprise,sadness,medium
This is really frustrating.,anticipation,trust,sadness,medium
This is really frustrating.,anticipation,joy,sadness,medium
