source_dataset,source_split,source_id,base_text,positive_rewrite,negative_rewrite,preserved_meaning_score,positive_description,negative_description,base_valence,base_arousal,base_dominance,positive_valence,positive_arousal,positive_dominance,negative_valence,negative_arousal,negative_dominance
empatheticdialogues,all,ed_all_6787,My son failed his physics exam yesterday. So disappointed.,My son failed his physics exam yesterday. I'm just so incredibly disappointed and heartbroken.,My son failed his physics exam yesterday. I'm somewhat disappointed.,0.95,Increasing emotional intensity to express stronger disappointment and vulnerability.,"Decreasing emotional intensity to express a more restrained, less overt disappointment.",0.35,0.45,0.4,0.25,0.65,0.3,0.4,0.25,0.45
empatheticdialogues,all,ed_all_10799,"I was kayaking with friends over the 4th of July holiday. The river was very fast due to recent rains. My friend managed to make it through the rapids very smoothly without any trouble at all, to a degree which was very surprising.",I was kayaking with friends over the 4th of July holiday. The river was wildly fast because of the recent rains. My friend skillfully navigated the rapids in such a smooth and effortless way—it was absolutely astonishing!,"I was kayaking with friends over the 4th of July holiday. The river was quite fast due to the recent rains. My friend got through the rapids smoothly without any trouble, which was somewhat unexpected.",0.95,"The positive rewrite intensifies the description by using more vivid and dramatic language, emphasizing astonishment and effortlessness, thereby increasing emotional arousal and expressiveness.","The negative rewrite tones down the emotional intensity by using more neutral and moderate language, making the statement more restrained and less expressive, which lowers emotional arousal.",0.65,0.45,0.55,0.75,0.75,0.65,0.6,0.25,0.5
empatheticdialogues,all,ed_all_3768,I was excited to visit Disney World for the first time!,I was absolutely thrilled and over the moon to visit Disney World for the very first time!,I was somewhat pleased to visit Disney World for the first time.,0.95,Increases the emotional intensity and excitement of the original statement to be more dramatic and exuberant.,"Decreases the emotional intensity to a more restrained and moderate level, making the excitement less vivid.",0.8,0.65,0.7,0.88,0.85,0.75,0.72,0.45,0.65
empatheticdialogues,all,ed_all_10019,I accidentally bumped into someone at the mall and they dropped their phone and the screen cracked.,"I feel really terrible because I accidentally bumped into someone at the mall, and they dropped their phone, cracking the screen.","I accidentally bumped into someone at the mall, causing them to drop their phone and crack the screen.",0.95,"Expresses greater personal responsibility and regret, showing more vulnerability.","Describes the incident more neutrally and factually, reducing personal emotional display.",0.4,0.3,0.4,0.35,0.5,0.3,0.4,0.1,0.5
empatheticdialogues,all,ed_all_12914,I am anticipating a really long day tomorrow and it makes me nervous,I am honestly dreading that really long day tomorrow and feeling really nervous about it,I expect a long day tomorrow and feel somewhat nervous about it,0.95,"The positive rewrite increases emotional intensity by expressing dread and intensifying the feeling of nervousness, making the emotion more explicit and dramatic.","The negative rewrite decreases emotional intensity by using more restrained language, softening the nervousness and making the expression more subdued and detached.",0.35,0.55,0.45,0.3,0.7,0.4,0.4,0.4,0.5
dailydialog,test,dd_test_689_0,I'm terribly sorry to have caused you so much trouble .  That's all right .,"I'm truly, deeply sorry to have caused you so much trouble. I really hope you can forgive me.  That's completely fine, I understand.",I'm sorry to have caused you any trouble.  That's fine.,0.95,"The speaker expresses increased vulnerability and heartfelt remorse, making the apology more explicit and emotionally open.","The speaker tones down the vulnerability, making the apology more restrained and formal.",0.35,0.45,0.3,0.4,0.65,0.25,0.3,0.3,0.4
empatheticdialogues,all,ed_all_55151,workign when we had to change job locations,It was so stressful working when we had to change job locations!,We continued working as we changed job locations.,0.9,Increased emotional intensity expressing stress about the situation.,Reduced emotional intensity presenting the event more neutrally.,0.5,0.6,0.5,0.5,0.85,0.5,0.5,0.3,0.5
empatheticdialogues,all,ed_all_12884,My dad just walked in with a piece of cheesecake only for himself! Cheesecake is my favorite dessert! I really wish I could have gone to Cheesecake Factory with him.,"My dad just walked in with a piece of cheesecake only for himself! Cheesecake is absolutely my favorite dessert, and it breaks my heart that I didn’t get to go to Cheesecake Factory with him.",My dad came in with a piece of cheesecake just for himself. Cheesecake is my favorite dessert. I wish I had been able to go to Cheesecake Factory with him.,0.95,"The rewrite increases emotional intensity by expressing stronger feelings of disappointment and attachment to the cheesecake, making the emotion more vivid and heartfelt.","The rewrite decreases emotional intensity by adopting a more neutral and restrained tone, minimizing emotional display while keeping the disappointment implied.",0.7,0.55,0.6,0.75,0.75,0.65,0.65,0.35,0.55
empatheticdialogues,all,ed_all_55197,I just won a contest for a free air fryer! I've never used one before but I love frying foods! I think it's going to be an awesome addition to my kitchen.,"I just won an amazing contest for a free air fryer! I've never used one before, but I'm absolutely thrilled since I love frying foods! I can't wait for it to be a fantastic addition to my kitchen!","I recently won a contest for a free air fryer. I've never used one before, but I do enjoy frying foods. It should be a nice addition to my kitchen.",0.95,"The positive rewrite increases the excitement and enthusiasm of the original utterance, using more intense descriptors and exclamation to heighten emotional intensity.","The negative rewrite tones down the excitement and enthusiasm, using more restrained and neutral language, thereby reducing emotional intensity while maintaining the original meaning.",0.85,0.65,0.7,0.92,0.85,0.75,0.78,0.4,0.65
empatheticdialogues,all,ed_all_55397,I always make sure I have plenty of food when going on long trips,I’m really careful to pack lots of food because I want to stay well-fueled on these long trips.,I usually pack enough food when I go on long trips.,0.95,"More explicit and expressive about the care and intention in packing food for trips, showing increased emotional involvement and warmth.","More restrained and factual, less emotional involvement or emphasis on the care taken, just stating the action plainly.",0.75,0.4,0.6,0.8,0.55,0.65,0.7,0.3,0.55
dailydialog,train,dd_train_3388_0,"I'm sorry , but I can't go .  Why not ?  I have to see my daughter .  When poyou have to see her ?  I have an appointment at one fifteen .","I'm really sorry, but I just can't go. Why not? I have to see my daughter. When do you have to see her? I have an important appointment at one fifteen.","I'm sorry, but I won't be able to go. Why? I need to see my daughter. When do you have to see her? I have a scheduled appointment at one fifteen.",0.95,"The positive rewrite uses more direct and engaging language, increasing the feeling of personal connection and concern.","The negative rewrite uses more formal and detached language, reducing the emotional immediacy while keeping the information clear.",0.55,0.35,0.5,0.65,0.5,0.55,0.5,0.25,0.45
dailydialog,train,dd_train_1087_0,It is difficult for old people to do away with old ideas. So the reform cannot be carried out well. The government is making efforts to change situation. Easier said than done.,"It's truly challenging for old people to let go of old ideas. So, unfortunately, the reform struggles to move forward. The government is sincerely putting great effort into changing the situation. But, really, it's easier said than done.","Old people tend to hold on to old ideas, making reform progress slow. The government is making efforts to improve the situation. However, implementation is not straightforward.",0.95,"The rewrite increases explicit emotional intensity by emphasizing challenge and effort, expressing a more personal and vivid description of the difficulties and government's attitude.","The rewrite tones down emotional intensity by phrasing the difficulties and efforts more neutrally and matter-of-factly, with less vivid or personal language.",0.55,0.45,0.5,0.6,0.65,0.55,0.5,0.3,0.5
empatheticdialogues,all,ed_all_50209,I tried applying for college online because I need the financial aid and I don't have enough time to complete enrollment.,I really tried applying for college online because I desperately need the financial aid and I simply don't have enough time to complete enrollment.,I attempted to apply for college online as I require the financial aid and lack sufficient time to complete enrollment.,0.95,The positive rewrite heightens emotional intensity by adding words like 'really' and 'desperately' to convey urgency and vulnerability.,"The negative rewrite reduces emotional intensity by using more formal and neutral language like 'attempted' and 'require,' making the statement more restrained and detached.",0.5,0.4,0.5,0.6,0.65,0.5,0.45,0.25,0.5
empatheticdialogues,all,ed_all_58774,I remember the day I first met my husband. He was introduce to me by a friend.,I vividly remember the day I first met my husband. He was kindly introduced to me by a dear friend.,I recall the day I first met my husband. He was introduced to me by a friend.,0.9,The rewrite makes the memory more vivid and emotionally engaging by using words like 'vividly' and 'kindly' to increase warmth and emotional intensity.,"The rewrite uses more formal and neutral language, reducing emotional intensity and making the statement more restrained.",0.75,0.3,0.6,0.85,0.5,0.65,0.7,0.15,0.6
empatheticdialogues,all,ed_all_49587,"My friend had no job and no friends at first. Then randomly he got a job, friends, and even a girlfriend.","At the start, my friend was completely alone, with no job and no friends, but then, out of nowhere, he amazingly found a job, made friends, and even got a girlfriend!","Initially, my friend had neither employment nor social connections. Subsequently, he obtained a job, some friends, and a girlfriend.",0.95,Increases emotional intensity to convey a more dramatic and vivid narrative of the friend's situation and changes.,Reduces emotional intensity to create a more factual and restrained recounting of the friend's situation and changes.,0.65,0.4,0.55,0.75,0.65,0.6,0.6,0.25,0.5
empatheticdialogues,all,ed_all_6465,I can not wait for preseason football Thursday.,I am absolutely thrilled and counting down the seconds until preseason football on Thursday!,I'm looking forward to preseason football on Thursday.,0.95,"The positive rewrite amplifies excitement and eagerness, expressing intense enthusiasm.","The negative rewrite tones down the excitement to a more casual, restrained anticipation.",0.75,0.6,0.65,0.85,0.85,0.75,0.65,0.4,0.6
empatheticdialogues,all,ed_all_46024,My wife is off to her mom's for couple of days. I think am going to miss her,"My wife is off to her mom's for a couple of days, and I already feel so empty thinking about how much I'm going to miss her.",My wife is off to her mom's for a couple of days. I expect I will miss her.,0.95,"The positive rewrite increases emotional intensity by expressing a stronger, more vivid feeling of impending loss and loneliness.","The negative rewrite decreases emotional intensity by using softer, more neutral language and reducing personal emotional expression.",0.6,0.4,0.5,0.65,0.7,0.5,0.6,0.2,0.5
dailydialog,train,dd_train_9999_0,"Hi , Helen . Where are you going on this summer vacation ?  I'm going to Disneyland .  That sounds like fun !","Hi, Helen! Where are you off to for this summer vacation? I'm going to Disneyland! That sounds absolutely fantastic!","Hello, Helen. Where are you going on your summer vacation? I'm going to Disneyland. That sounds enjoyable.",0.95,The positive rewrite increases emotional intensity by expressing excitement more vividly with exclamations and enthusiastic adjectives.,"The negative rewrite reduces emotional intensity by using more neutral language and punctuation, making the tone more restrained.",0.75,0.55,0.6,0.8,0.75,0.65,0.65,0.35,0.55
empatheticdialogues,all,ed_all_58963,I was walking barefeet outside and stepped on an earthworm,"I was walking barefoot outside and accidentally crushed a poor earthworm beneath my foot, and it really upset me.",I was walking barefoot outside and happened to step on an earthworm.,0.95,"More explicitly expresses emotional sensitivity and empathy towards the event, showing increased vulnerability.","More detached and neutral, with less emotional expression or vulnerability.",0.4,0.3,0.45,0.35,0.5,0.4,0.4,0.15,0.5
empatheticdialogues,all,ed_all_37649,I was stopped at a light and when it was my turn to go a car from the other direction ran the light. I wanted to chase them down and give them a piece of my mind.,"I was stopped at a light, and the moment it turned green for me, a car from the other direction blatantly ran the light. I was absolutely furious and burning with rage, desperate to chase them down and confront them fiercely.","I was stopped at a light and when it was my turn to go a car from the other direction ran the light. I felt annoyed and considered telling them off, but I held back.",0.95,"This version intensifies the anger and desire to react, with more vivid and dramatic language expressing fury and desperation.","This version tones down the anger and the urge to confront, expressing it in a calmer, more restrained, and less confrontational manner.",0.4,0.6,0.55,0.35,0.85,0.65,0.45,0.35,0.45
empatheticdialogues,all,ed_all_9346,I miss my old job. It was fun.,I really miss my old job—it was so much fun and made me truly happy.,I miss my old job. It was enjoyable.,0.95,"The positive rewrite expresses a stronger, more explicit emotional intensity about missing the job and how fun it was, adding emphasis and personal warmth.","The negative rewrite tones down the emotional intensity by using more neutral language, making the sentiment more restrained and less emotionally charged.",0.75,0.55,0.6,0.85,0.7,0.65,0.7,0.4,0.55
dailydialog,train,dd_train_6426_0,"Brandy, I am supposed to participate in an interview tomorrow. That's great. You need to prepare for it. How? Buy an expensive suit. Is a white shirt OK? Yeah, fine. And dressing leather shoes.","Brandy, I’m really excited because I have to participate in an interview tomorrow! That’s wonderful! You absolutely must prepare for it carefully. How? By getting a stunning, expensive suit! Is a white shirt good enough? Yes, it’s perfect! And don’t forget to wear sharp, polished leather shoes!","Brandy, I have an interview scheduled for tomorrow. That’s good. You should prepare for it. How? By buying a decent suit. Is a white shirt acceptable? Yes, that’s acceptable. And wear leather shoes.",0.95,"The positive rewrite increases emotional intensity by expressing excitement and emphasizing how important the preparation is, using stronger adjectives and exclamations.","The negative rewrite decreases emotional intensity by using neutral and restrained language, avoiding excitement or emphasis, resulting in a more factual and formal tone.",0.7,0.5,0.6,0.85,0.75,0.7,0.6,0.3,0.55
empatheticdialogues,all,ed_all_62401,I just started planting a new garden. I should start seeing something grow in a couples of weeks.,"I’ve just started planting a new garden, and I’m so excited—I can’t wait to see the first sprouts in just a couple of weeks!",I have recently started planting a new garden and expect to observe some growth within a few weeks.,0.95,"Increases excitement and eagerness, making feelings about the new garden more explicit and emotionally charged.","Presents the information in a calm, factual, and restrained manner, reducing emotional expression.",0.7,0.4,0.55,0.85,0.7,0.6,0.65,0.2,0.55
empatheticdialogues,all,ed_all_18700,I got a invite to go camping next weekend.,I'm so excited that I got an invite to go camping next weekend!,I received an invite to go camping next weekend.,0.95,"The positive rewrite amplifies the excitement and enthusiasm about receiving the camping invite, making the emotion more intense and explicit.","The negative rewrite uses a more restrained and formal tone, reducing emotional intensity and presenting the information more neutrally.",0.7,0.4,0.5,0.85,0.75,0.6,0.65,0.2,0.55
empatheticdialogues,all,ed_all_64205,My friend bought me dinner tonight. It made me really appreciate him,"My friend bought me dinner tonight, and it truly touched my heart; I deeply appreciate him.",My friend bought me dinner tonight. I appreciate him.,0.95,"Increased warmth and emotional expressiveness, with a more heartfelt and sincere tone.","Reduced warmth, more restrained and factual tone.",0.75,0.45,0.5,0.85,0.6,0.55,0.65,0.3,0.5
empatheticdialogues,all,ed_all_27516,I am going skydiving for the first time and I am not sure what to expect,"I am so excited and a bit nervous going skydiving for the first time, truly unsure of what incredible thrills await me!",I will be skydiving for the first time and do not have clear expectations about it.,0.95,"More emotionally intense and expressive, emphasizing excitement and nervousness to convey heightened anticipation and vulnerability.","More restrained and formal, minimizing emotional expressiveness to sound calm and neutral about the event.",0.6,0.5,0.5,0.75,0.8,0.6,0.55,0.3,0.5
empatheticdialogues,all,ed_all_13813,I was bugged by my room mate to take the trash out. It wasn't my turn to.,"I was really annoyed by my room mate to take the trash out, especially since it wasn't my turn.","My room mate asked me to take the trash out, although it wasn't my turn.",0.95,"The positive rewrite expresses stronger annoyance, making the frustration more explicit and intense.","The negative rewrite tones down the annoyance to a more neutral, factual report, making it more restrained and detached.",0.45,0.55,0.5,0.4,0.75,0.5,0.48,0.35,0.5
empatheticdialogues,all,ed_all_256,i am angry against a friend that suppose to help me.,I am really hurt and deeply angry at a friend who was supposed to help me.,I am somewhat upset with a friend who was expected to help me.,0.95,"The positive rewrite increases emotional intensity, making the anger more explicit and intense with added hurt and depth.","The negative rewrite decreases emotional intensity, conveying the anger in a more restrained and less intense manner.",0.25,0.6,0.4,0.2,0.8,0.45,0.3,0.4,0.35
empatheticdialogues,all,ed_all_2968,I am stressed. My wife is expecting a baby. I am happy but at the same time I feel little stress by the responsibilities.,"I'm really stressed. My wife is expecting a baby, and while I'm so happy, I can't help but feel overwhelmed by the weight of these responsibilities.","I am somewhat stressed. My wife is expecting a baby. I'm happy, though I notice a mild stress due to the responsibilities.",0.95,"Expresses the stress and happiness with greater emotional intensity and explicitness, highlighting feeling overwhelmed.","Conveys the stress and happiness in a more restrained, subdued manner, reducing the emotional intensity of stress.",0.65,0.5,0.4,0.7,0.75,0.35,0.6,0.35,0.45
empatheticdialogues,all,ed_all_3508,I felt at fault for letting my credit card debt get out of control. I still haven't told my husband just how much I owe on the card.,I've been really struggling with guilt over letting my credit card debt spiral out of control. I haven't had the courage to admit to my husband exactly how much I owe on it.,I was somewhat aware that my credit card debt was growing. I haven't mentioned to my husband the exact amount owed yet.,0.95,The rewrite amplifies the speaker's vulnerability by explicitly expressing intense guilt and lack of courage to reveal the truth.,The rewrite tones down vulnerability by presenting the feeling as mild awareness and a neutral statement about not yet sharing the debt details.,0.35,0.48,0.4,0.28,0.65,0.3,0.4,0.3,0.5
dailydialog,train,dd_train_8022_0,"Do you play cards ?  Of course and very well .  What's the English for Hongtao , Leitao , Meihua and Fangpian ?  Oh , very easy . They are heart , spade , club and diamond .","Do you play cards? Absolutely, and I'm really good at it! What's the English for Hongtao, Leitao, Meihua, and Fangpian? Oh, that's super easy! They are heart, spade, club, and diamond.","Do you play cards? Yes, and quite well. What's the English for Hongtao, Leitao, Meihua, and Fangpian? Oh, they're simply heart, spade, club, and diamond.",0.95,More enthusiastic and explicitly confident expression of card playing skill and ease with English terms.,More neutral and restrained expression of card playing skill and English term knowledge with less enthusiasm.,0.58,0.4,0.6,0.75,0.65,0.75,0.5,0.2,0.5
empatheticdialogues,all,ed_all_29387,"I practiced for months doing a handstand never thinking I would be able to do it. Then one day, I was able to do it.","I practiced for months doing a handstand, doubting I'd ever manage it, but then one incredible day, I finally nailed it!","I practiced for months doing a handstand without much expectation, and eventually, I was able to do it.",0.95,"The positive rewrite expresses the achievement with heightened excitement and emphasis, making the success seem more dramatic and impactful.","The negative rewrite tones down the emotional emphasis and excitement, presenting the achievement in a more understated and neutral manner.",0.65,0.45,0.55,0.75,0.7,0.6,0.6,0.3,0.5
empatheticdialogues,all,ed_all_62750,I accidentally dropped a dumbell on my toe at the gym. I felt so stupid.,I can't believe I actually dropped a dumbell on my toe at the gym. I felt incredibly stupid and embarrassed.,I accidentally dropped a dumbell on my toe at the gym. I felt a bit careless.,0.95,"The utterance expresses the speaker's feeling of stupidity with greater intensity and explicit embarrassment, raising emotional activation and vulnerability.","The utterance tones down the self-criticism to a mild feeling of carelessness, reducing emotional intensity and making it more restrained.",0.45,0.5,0.4,0.4,0.7,0.3,0.5,0.3,0.5
empatheticdialogues,all,ed_all_16376,I wanted to make beef wellington but the gorcery store didn't have english mustard.,"I was really looking forward to making beef wellington, but honestly, it broke my heart when the grocery store didn't have any English mustard.","I intended to make beef wellington, but the grocery store was out of English mustard.",0.95,"The positive rewrite expresses the disappointment with more dramatic and explicit emotional intensity, highlighting heartfelt anticipation and letdown.","The negative rewrite states the fact more neutrally and restrained, minimizing expressed disappointment.",0.5,0.3,0.4,0.6,0.6,0.45,0.45,0.15,0.4
empatheticdialogues,all,ed_all_63802,My husband started working out only 3 months ago and can already do 90 push ups in a row! Its crazy amazing!,"My husband just began working out three months ago, and he’s absolutely crushing it with 90 push ups in a row! It’s unbelievably incredible!",My husband started working out three months ago and can do 90 push ups in a row. It’s quite impressive.,0.95,"More dramatic and excited tone, with stronger emphasis on amazement and energy.","Calmer, more restrained expression, focusing on a factual statement with mild appreciation.",0.85,0.75,0.65,0.9,0.9,0.7,0.8,0.5,0.6
empatheticdialogues,all,ed_all_32639,i was happy when i got the day off!,i was absolutely thrilled and overjoyed when i got the day off!,i was glad when i got the day off.,0.95,"The positive rewrite increases emotional intensity by using stronger, more explicit words expressing joy and excitement.",The negative rewrite decreases emotional intensity by using a more restrained and mild expression of happiness.,0.85,0.7,0.6,0.95,0.9,0.65,0.75,0.5,0.55
empatheticdialogues,all,ed_all_47757,I found my old Nintendo system. I set it up and started to play some old games and it really brought me back.,"I joyfully found my old Nintendo system! I eagerly set it up and dove into playing some classic games, and it truly transported me back to wonderful memories.","I found my old Nintendo system, set it up, and played some old games. It reminded me of the past.",0.95,The rewrite expresses greater enthusiasm and vivid engagement when recalling the experience.,"The rewrite expresses the experience in a more subdued and matter-of-fact manner, reducing emotional emphasis.",0.7,0.45,0.5,0.8,0.7,0.6,0.6,0.25,0.45
empatheticdialogues,all,ed_all_7913,I got into a fight with a homeless man yesterday over a half eaten sandwich. I felt so bad.,I got into a terrible fight with a homeless man yesterday over a half eaten sandwich. I felt absolutely awful and heartbroken.,I had an altercation with a homeless man yesterday over a half eaten sandwich. I felt somewhat bad.,1.0,The positive rewrite increases emotional intensity by adding more dramatic and explicit expressions of guilt and remorse.,"The negative rewrite decreases emotional intensity by using more subdued, restrained language, reducing the explicitness of the speaker's guilt.",0.35,0.55,0.45,0.25,0.7,0.35,0.4,0.35,0.5
empatheticdialogues,all,ed_all_3482,I tripped my first day of high school in the gym with people around. It was a little embarrassing for me then and there.,I literally stumbled and fell on my first day of high school in the gym in front of everyone. It was so incredibly embarrassing right at that moment.,"On the first day of high school, I tripped in the gym with some people around. I felt somewhat embarrassed then.",0.95,"The positive rewrite amplifies the emotional intensity, making the embarrassment more explicit, vivid, and dramatic.","The negative rewrite lowers the emotional intensity, using more restrained and neutral language, making the embarrassment less explicit.",0.55,0.45,0.5,0.5,0.75,0.45,0.55,0.3,0.5
empatheticdialogues,all,ed_all_26246,"My fiance works as a technician installing internet at peoples homes, and they are always tipping him. Often with food and it makes me nervous sometimes.","My fiance works as a technician installing internet at people's homes, and they are always tipping him. They often bring food too, which honestly makes me feel a bit anxious sometimes.","My fiance works as a technician installing internet at people's homes, and they often tip him. Sometimes they give food, and it occasionally makes me somewhat uneasy.",0.95,"The rewrite increases emotional intensity by expressing the nervousness more explicitly and vulnerably, using phrases like 'honestly feel a bit anxious'.","The rewrite reduces emotional intensity by expressing nervousness in a more restrained and understated manner, using phrases like 'occasionally makes me somewhat uneasy'.",0.55,0.45,0.5,0.58,0.62,0.52,0.53,0.3,0.48
dailydialog,train,dd_train_6529_0,"Good coming , sir .  Good coming .  What can I do for you ?  I'd like a pair of shoes , please .  You've come to the right place.We ' Ve got the best shoes in town .","Welcome, sir! It's truly a pleasure to see you here. What can I do for you today? I'd be delighted to help you find a pair of shoes. You've definitely come to the perfect place. We boast the best shoes in town, guaranteed to impress!","Good day, sir. How may I assist you? You requested a pair of shoes. This is the appropriate place. We carry quality shoes in town.",0.95,"The positive rewrite adds increased warmth and friendliness, making the interaction feel more welcoming and enthusiastic.","The negative rewrite reduces emotional warmth, making the interaction more formal and restrained.",0.65,0.5,0.6,0.8,0.7,0.65,0.5,0.35,0.55
empatheticdialogues,all,ed_all_41767,"I can't stand a messy kitchen, but my roommate is a pig. I can't stand how messy he is!","I absolutely can't tolerate a messy kitchen, and honestly, my roommate is such a pig. It drives me crazy how messy he is!","I dislike a messy kitchen, and my roommate tends to be quite messy. It bothers me how untidy he is.",0.95,"The positive rewrite intensifies the disgust and frustration, making the emotion more explicit and vivid.","The negative rewrite tones down the emotional intensity, presenting the frustration in a more restrained and less charged manner.",0.3,0.65,0.5,0.25,0.85,0.55,0.4,0.4,0.45
dailydialog,train,dd_train_322_0,"The tranquility of the night , the chirping of some insects , everything is so natural !  I felt as if I had been in a different world .  And I was overwhelmed by this scene , too .","The serene tranquility of the night, the gentle chirping of the insects, everything feels so wonderfully natural! I truly felt transported to another world. I was deeply overwhelmed by this breathtaking scene, too.","The night was quiet, with some insects chirping; everything seemed natural. I felt like I was in a different world and was somewhat overwhelmed by the scene.",0.95,"More vivid, expressive, and intensified emotions conveying stronger awe and immersion.","More subdued, restrained, and understated expression of emotions conveying milder impact.",0.8,0.65,0.6,0.85,0.8,0.65,0.75,0.5,0.55
empatheticdialogues,all,ed_all_17107,Got out of the hospital yesterday. I am hoping for a healthier future.,"I finally got out of the hospital yesterday, and I’m really hopeful for a much healthier future ahead!",I was discharged from the hospital yesterday and am hoping for improved health.,0.95,"The positive rewrite expresses stronger emotional intensity by adding emphasis and warmth, making the hope and relief more explicit and heartfelt.","The negative rewrite tones down the emotional intensity by using more neutral, formal language and reducing expressive elements, making the statement more reserved and restrained.",0.65,0.5,0.6,0.75,0.7,0.65,0.6,0.35,0.55
